localization_key,English_reference,English_display
adam_henry_videl_si_ho_ne_dB5w,Have you ever seen him? Up close? Can you tell me what he looks like?,Have you ever seen him up close? Can you tell me what he looks like?
adle_adleta_ale_jak_tak_n_JVdE,"Judging by the look of you, my brother had a bad day. Or he spared you.","Judging by the look of you, my brother had a bad day."
adle_adleta_ale_no_tak_ji_5VAA,"Come now, Henry! In broad daylight? Here?",Here and now? In broad daylight?
adle_adleta_copak_uz_te_n_v1kg,Why should I get rid of something I received as a gift?,"Why should I give away, something I received as a gift?"
adle_adleta_hm__slysela_j_hiYD,"From what I heard, his vineyard isn't making him any money and his business is almost bankrupt.","From what I heard, his vineyard is doing badly and his business is almost bankrupt."
adle_adleta_ja_mam_casu_s_m7ZB,And I need an explanation. Gifts are meant to be taken back!,And I need an explanation. Gifts aren't meant to be taken back!
adle_adleta_jestli_si_slo_O8vD,"If you're a lackey of some lustful burgher who is desperate to court me, please clear off.","If you're another servant of some townsman who wants to confess his love for me, then kindly get away."
adle_adleta_mam_rada_muze_xqu1,Hmm... But it's not that easy to become a friend of mine. You need to impress me somehow first.,"Hmm... But it's not that easy to become a friend of mine. First, you need to impress me somehow."
adle_adleta_nejsem_kurva__a6Dr,Casper? The poor thing got a proper roasting from my father… How is he?,Casper? The poor thing got a proper hiding from my father… How is he?
adle_adleta_tak_jsem_si_o_Cfcv,"Since I've been grounded, I've been so bored embroidering all day I even tried to read it.","Since I've been locked up here, I've even tried to read it out of sheer boredom so that I don't have to embroider all the time."
adle_adleta_tak_to_byl_te_RHni,So that's what that racket from by the gate was? I thought he'd been challenging some poor wretches again out of boredom.,So that's what that racket by the gate was? I thought he'd been challenging some poor wretches again out of boredom.
adle_adleta_tak_to_o_moje_3iNI,"My friendship doesn't mean too much to you, I see.","My friendship doesn't mean much to you, I see."
adle_adleta_tak_ukaz_zahr_AwaD,"Let's see, gardener.","Well show me, gardener."
adle_adleta_ten_od_cisare_PAl1,The one from the Emperor Charles? What's that got to do with the book?,Havel from the Emperor Charles tavern? What does the book have to do with it?
adle_adleta_to_jste_vy_mu_FDjs,"When we were ""friends"", he gave me that book. There was no mention of it being lent to me.","When we were ""friends"", he gifted me that book. There was no mention of it being on loan."
adle_adleta_to_mas_pravdu_cmkN,"You're right, but I'm rather choosy, Henry, you know? I don't have to have everything I set eyes on.","You're right, but I'm rather picky. I don't have to have everything I set my eyes on."
adle_adleta_tyhle_moc_si__zRuv,"You didn't make much of an effort. I wanted flowers to go with my dress, not the first weed you found somewhere.","You didn't make much of an effort. I wanted flowers to go with my dress, not the first weed you came across."
adle_adleta_udelal_jsi_to_PjPE,"You did it so you could get Casper's book back, but be that as it may. A lady needs someone who can stand up for her.","You did it so you could get Casper's book back. But fine, let's say you're telling the truth."
adle_henry_a_kaspar_havel_8awu,"Ande Casper Havel… no, Rudolf Havel... I mean, Casper Rudolf wants me to pretend to be Havel.","Casper Havel… no, Rudolf Havel... I mean, Casper Rudolf wants me to pretend to be Havel."
adle_henry_ano_ten_plan_j_J5rE,That's the one. I'm meant to pose as a wine connoisseur to prise some information out of Havel.,That's the one. I need to pose as a wine connoisseur to prise some information out of Havel.
adle_henry_bojoval_jsem_s_nZwe,I fought like a lion!,I fought bravely!
adle_henry_co_treba_pribe_jJZj,How about the story of the heart by Konrad of Wurzburg?,How about the Story of the Heart by Konrad of Wurzburg?
adle_henry_darek_IjIq,How about a splended gift?,How about a splendid gift?
adle_henry_eh__omlouvam_se_yNuc,Oh… I'm sorry.,Oh… I'm sorry. I'll go and get some more.
adle_henry_jestli_rada_ct_9pkP,"If you like reading, I can recommend you some books you might enjoy more.","If you like reading, I can recommend some books you might enjoy more."
adle_henry_kazdy_ma_to_sv_3Pci,Thanks very much. I won't trouble you anymore.,"Thank you, Miss."
adle_henry_kdyz_mi_ji_nec_q6Y5,"If you don't want to give it to me, I'll be off.","If you don't give it to me, I'll have to leave."
adle_henry_myslim_ze_by_s_vhB9,"I think you'll like it. In the work, Konrad emphasises the difference between true love and the false love of an arranged marriage.","I think you'll like it. In the work, Konrad espouses the beauty of true love over the false love of an arranged marriage."
adle_henry_ne_teda_za_hav_xBdM,"No, not to be Havel, but to pretend to be someone who understands him so he can find out what his cousin knows about it.","No, not to be Havel, but to pretend to understand him so he can find out what his cousin knows about it."
adle_henry_no_ale_ja_moc__gkva,"But I don't know much about wine, so I'm relying on the book.","But I don't know much about wine, so I need to read the book."
adle_henry_pohledy_nahodn_Uaxm,"Stolen glances, full of love, make two hearts join as one.","One stolen glance, tender and true, captured my heart, beholden to you."
adle_henry_popravde_ma_do_oQe9,"His vineyards aren't bringing in much and he's not generally doing too well. That's why I'm here, in fact.","His vineyards aren't bringing in much and he's generally not doing too well. That's why I'm here, in fact."
adle_henry_ta_kniha_pana__ObhZ,"The book by Bushek. It's not the most precious manuscript in the world, but it'll help Casper.","Bushek's book may not be the most precious manuscript in the world, but it'll help Casper."
adle_henry_to_mi_vubec_ne_wwdp,I don't mind that at all.,That doesn't bother me.
adle_henry_tva_krasa_je_j_1FTl,Your beauty puts the flowers to shame and near outshines the sun.,"Your beauty and grace like flowers in spring, as the rising sun you make the birds sing."
afte_cerny_bar_tak_co_dob_AMcF,"Well? All good? No learning has ever fallen from heaven for anybody, ha ha.","Well? All good? No learning has ever fallen from heaven for anybody, haha."
afte_cerny_bar_tak_co_dob_ylen,"Well? Good, eh? Let it sit for a while and you'll get it in your blood, you'll see.","What do you think? Good one, eh? Let it sit for a while and you'll get it in your blood, you'll see."
afte_event_poc_co_to_kecas_ACLw,You whoreson! You've stashed it somewhere!,You whoreson! You've hidden it somewhere!
afte_event_poc_diky_na_ch_dXJy,"That's of no matter, I think I'll hang on to it anyway.","That's of no matter, I think I'll keep it anyway."
afte_event_poc_jo_a_co_pa_nA5b,"So what's that big X meant to mean, smart-arse?","So what's that big X there then, smart-arse?"
afte_hejtamn_f_na_und_es__5BH3,"!P Na und? Es ist doch gut, oder? May it serve you in good health, Mein Freund.","Na und? Es ist doch gut, oder? May it serve you in good health, mein Freund."
afte_hejtamn_f_oh_ja_ja_d_HjZH,"!P Oh ja, ja, das haben Sie gut gemacht, mein Freund!","Oh ja, ja, das hast du gut gemacht, mein Freund!"
afte_hejtman_s_hm_tak_to__VjC7,"!P Oh ja, ja, das haben Sie gut gemacht, mein Freund!","Oh ja, ja, das hast du gut gemacht, mein Freund!"
afte_hejtman_s_tak_co_dob_qmKS,"!P Na und? Es ist doch gut, oder? May it serve you in good health, Mein Freund.","Na und? Es ist doch gut, oder? May it serve you in good health, mein Freund."
afte_henry_a_ty_tvary_vub_WWIW,"And those lines. It looks nothing like I've ever seen, sorry.","And the lines. It looks like no map I've ever seen, sorry."
afte_henry_ale_uz_nemam_OTHy,"I know! Nuts, isn't it?","I know! Mad, isn't it?"
afte_henry_bylo_mi_to_div_9BMr,I thought it was odd just from the parchment it was scrawled on. It's very flimsy.,I thought it was odd just from the parchment it was scrawled on. It's very delicate.
afte_henry_co_ja_vim_oNAP,I haven't a clue. Maybe the scribe had one too many and his quill slipped? Buggered if I know.,Buggered if I know. Maybe the scribe had one too many and his quill slipped?
afte_henry_hmmmm_hmmmmm_YiBO,"I hate to be the bearer of bad news, but you've been conned.","I hate to be the bearer of bad news, but you've been deceived."
afte_jan_balsa_dobry_dobr_3Swe,"Good, good... You could be bloody damn good... If you don't get killed first.","Good, good. You could be bloody damn good... If you don't get killed first."
afte_mikulas_c_hm_ale_jo__1J9J,"!P Na und? Es ist doch gut, oder? May it serve you in good health, Mein Freund.","Na und? Es ist doch gut, oder? May it serve you in good health, mein Freund."
afte_mikulas_c_jo_myslim__8SIN,"!P Oh ja, ja, das haben Sie gut gemacht, mein Freund!","Oh ja, ja, das hast du gut gemacht, mein Freund!"
afte_suchy_cer_dobry_dobr_FIwC,"Aye, I think you understood it right... And now I hope it'll come in useful to you.","Aye, I think you understood it right. And now I hope it'll come in useful to you."
albi_albik_z_u_ano_ano_ja_le8A,"Yes, like what workers and miners wear. Sounds like you’re right...","I see, like what the labourers and miners wear. It seems like you’re right..."
albi_albik_z_u_co_krali_p_AHmr,Not in the slightest. But the treatment turned out to be quite simple - a diet. And it's effects were near miraculous! Wenceslas has held me in close regard ever since.,Not in the slightest. But the treatment turned out to be quite simple - a diet. And its effects were near miraculous! Wenceslas has held me in close regard ever since.
albi_albik_z_u_dobra_snad_i7Tt,Right. Hopefully you’ll soon find out where they were brought from.,Right. Hopefully you'll soon find out how they ended up in that shed.
albi_albik_z_u_hmmto_by_z_Y8kg,"<Hmm>That does line up. Though the hard labour could’ve also been done by hired hands, or even some of the lay brothers.","<Hmm>That does line up. Although the hard labour could’ve also been done by hired hands, or even some of the lay brothers."
albi_albik_z_u_jak_jinak_auxO,Didn’t think so…,I didn’t think so…
albi_albik_z_u_jestli_ti__yQmV,"If you're not feeling well, go and lie down. And if it gets any worse, let me or Zachariah know.","If you're not feeling well, go and lie down. And if it gets any worse, let me or Zacharias know."
albi_albik_z_u_jindrichu__TO5j,"Henry, that’s basic knowledge... And I’ve got plenty of other work. Can’t you sort it yourself?","Henry, that’s basic knowledge... And I’ve got plenty of other work. Can’t you sort it out yourself?"
albi_albik_z_u_jsi_si_jis_0U8H,"Are you sure? Might’ve been lime, or chalk…","Are you sure? It might’ve been lime, or chalk…"
albi_albik_z_u_kdyz_ho_zm_AFka,"When Zachariah mentioned him, I was glad to hear Joachim was still alive. He's growing a bit long in the tooth, you see.","When Zacharias mentioned him, I was glad to hear Joachim was still alive. He's growing a bit long in the tooth, you see."
albi_albik_z_u_kral_zvrac_YMZc,The king vomited into the well...,The king vomited into the well.
albi_albik_z_u_mozna_vapn_SNBK,"Could be lime? When the plague’s about, it’s used to cover corpses…","Could it be lime? When the plague’s about, it’s used to cover corpses…"
albi_albik_z_u_na_otevren_bJ17,The opening was quite the feast.,The opening was quite a celebration.
albi_albik_z_u_nedavej_mu_CkDZ,They’re... behind the scale bowls...,They’re... behind the scales...
albi_albik_z_u_nemuzu_se__hdkw,"Still, it's an impressive building.","Still, it is an impressive building."
albi_albik_z_u_nepredbihe_FL8j,Let’s not get ahead of ourselves. It could still be just poorly cooked peas.,Let’s not get ahead of ourselves. It could still be just badly cooked peas.
albi_albik_z_u_nevypadala_o4BA,Didn’t it look more like it was drilled?,Did it look more like it was drilled?
albi_albik_z_u_povzdechdo_OZLG,"Never mind, it’s done now... Besides, the flour store’s near that shed where they found the bodies. Might be worth taking a look.","Never mind, it’s done now... Besides, the flour store’s near that shed where they found the bodies. It might be worth taking a look."
albi_albik_z_u_pro_boha_t_h5L4,"Dear God, you...?! Why...?",Dear God?! Why...?
albi_albik_z_u_tady_mas_r_z021,"I spent half my youth at the alchemy bench too, so go on. Practice makes perfect.","I spent half my youth at the alchemy bench too, so get to it. Practice makes perfect."
albi_albik_z_u_tak_asi_ne_JdX1,Maybe not.,I suppose not.
albi_albik_z_u_ten_jsem_p_PusP,I wrote it mainly for students and practitioner's. But I'm also planning to write a book about health and how to keep healthy.,I wrote it mainly for students and practitioners. But I'm also planning to write a book about health and how to keep healthy.
albi_albik_z_u_v_tom_prip_8eQf,"In that case, time you learned something. Here’s a recipe, so next time, you’ll know how to make it yourself.","In that case, it's time you learned something. Here’s a recipe, so next time, you’ll know how to make it yourself."
albi_albik_z_u_vypdaly_ja_l75R,Looked like signs of violence? You’ve more experience with that than I do.,Did it look like signs of violence? You’ve more experience with that than I do.
albi_albik_z_u_zdar_jindro_0KhA,"Sigismund Albich of Uniczow, doctor of medicine  of the Prague university and doctor of law of the Padua university.","Sigismund Albich of Uniczow, doctor of medicine of the Prague university and doctor of law of the Padua university."
albi_albik_z_u_zna_se_s_n_JZKm,"It's mainly my friend, Oswald Torvart, that knows him. He's the one that told me about Joachim originally.","It's mainly my friend, Oswald Torwart, that knows him. He's the one that told me about Joachim originally."
albi_dlc3_novi_mistre_alb_HFec,Master Albich… what if it turns out in the end that His Lordship was right about the plague?,Master Albich… what if it turns out in the end that The Right Reverend was right about the plague?
albi_dlc3_novi_skutecne_t_rglz,Did the illness really break out in the crypt.,Did the illness really break out in the crypt?
albi_dlc3_novi_vetsina_mi_EoJV,"Most of it ended up on my lap and hands, and a cleaned up the rest from the floor.","Most of it ended up on my lap and hands, and I cleaned up the rest from the floor."
albi_henry_ano_prece_te_n_JudZ,"Of course, I wouldn’t let you go alone.","Of course, I wouldn’t let you go alone, would I?"
albi_henry_ddd_HZSo,"The younger one had flour in his hair. Got damp, dried on... but it was definitely flour.","The younger one had flour in his hair. It got damp, dried on... but it was definitely flour."
albi_henry_failnul_jsem_s_GFk5,The older of them had thorns stuck in his skin. Must’ve happened while someone was dragging them to the shed.,The older of them had thorns stuck in his skin. It must’ve happened while someone was dragging him to the shed.
albi_henry_kdyz_jsem_mluv_0twL,"When I spoke with some of the workers around the church,  they said two of their own had gone missing. I think these are them.","When I spoke with some of the labourers around the church, they said two of their own had gone missing. I think these are them."
albi_henry_muzu_to_zkusit_6HOL,"I could try, but this way’s much quicker.","I could try, but this way’s much faster."
albi_henry_nevadi_kdyz_se_fsaM,Mind if we meet there instead?,Do you mind if we meet there instead?
albi_henry_no_jo_namocila_El2A,Yeah. Got damp and formed a sort of crust. But I’m sure it was flour.,Yeah. It got damp and formed a sort of crust. But I’m sure it was flour.
albi_henry_pomoc_6zMM,I’ve examined the bodies we found…,I've examined the bodies that were found…
albi_henry_to_mas_asi_pra_Kmpd,"Aye, sounds about right.","Aye, you're probably right."
albi_henry_u_ty_spaleny_k_Ww1E,I found some scraps of clothing near the burnt shed. Bits of fabric... and skin. Looked like knee padding.,I found some scraps of clothing near the burnt shed. Bits of fabric... and bits of leather. It looked like knee padding.
alde_haman_ald_a_na_peci__d1Db,And the care of the bathhouse wench. Naturally!,And the care of a bathhouse wench. Naturally!
alde_konrad_z__ted_hlavne_Uq4n,Now let's get out of here.,Now let's get out of here quickly!
alde_konrad_z__tomu_rikam_3j9G,Now that's a great plan.,That's what I call a great plan!
alko_henry_pochybuju_ze_b_fEC9,I doubt these two pissheads could have killed Cherthan even if they wanted to...,I doubt that pair of drunks could have killed Chertan even if they wanted to.
alsi_alsik_az_se_to_dozvi_fRsr,When dad finds out…,But if Pa finds out…
alsi_alsik_heniku_ty_vole_AjHP,"Henik, mate, Henry said you're still seeing my sister!","Hey, Henik! Henry said you're still seeing my sister!"
alsi_alsik_jak_chces_ale__eMQn,"As you wish, but I wouldn't provoke dad too much if I were you.","Suit yourself, but I wouldn't provoke Pa too much if I was you."
alsi_alsik_je_to_pravda_eQkW,Is it true?,Is that true?
alsi_alsik_nech_nech_me_ug_PrgX,Let… let me be! Ugh.,Leave me… alone! Echh!
alsi_alsik_nemydli_mi_bar_Zqb5,Wanna ram my ram?,Don't fuck with my sheep!
alsi_alsik_plasis_mi_ovce_Y1os,You're scaring the sheep!,You're scaring my sheep!
alsi_alsik_prestan_vole_u7w5,Get away from the sheep!,Leave my sheep alone!
alsi_alsik_temp_vidim_te_xc5w,I'm gonna call dad!,I'm going to call Pa!
alsi_alsik_to_nejsou_tvoj_4zAm,"Those aren't your sheep, don't be stupid!","Those sheep aren't yours, stop messing around!"
alsi_alsik_to_ses_asi_pos_dMnN,Are you out of your mind? You know what dad told you!,Are you out of your mind? You know what Pa told you!
alsi_alsik_tyvole_nymx,Jesus…,Ty vole!
alsi_alsik_tyvole_to_neni_bit2,Jesus… that's not good…,Shit... that's not good!
alsi_alsik_ugh_BcBT,Ugh.,<…>
alsi_alsik_vyh_neslysels__t5Qv,Didn't you hear me? Leave the pasture!,Didn't you hear me? Get off my pasture!
alsi_alsik_vyh_to_se_rekn_sPac,I'll tell on you and you'll be done!,I'm going to tell on you and you'll be sorry!
alsi_henik_jak_jsem_rek_m_BIZc,"As I said, we're gonna work it out with him.","Like I said, we'll work it out with them."
alsi_henik_jindra_posranej_SkiH,Fucking Henry.,That fucking Henry.
alsi_henik_jo_vim_a_kaslu_nonJ,"I know but I don't care. I mean, we don't care.","I know, and I don't care. Neither of us do."
alsi_henik_proste_budem_s_wT2J,Manka and I will be together whether your parents like it or not.,Me and Manka will be together whether your parents like it or not.
alte_brabant_pro_krista_u_N4QG,"Ha Ha, I will enjoy hearing that histoire. Lord Capon kept that a secret from me!","Haha, I will enjoy hearing that histoire. Monsieur Chapon kept that a secret from me!"
alte_brabant_vidis_pane_p_3Cv6,"You see, Lord Capon? You finally overcame your fear! With a bit of friendly help…","You see, Monsieur Chapon? You finally overcame your fear! With a little help from a friend…"
alte_henry_ale_co_kdyz_mo_wUUP,Maybe that power arranged for me to show up here so I could cure your husband.,Maybe that power is exactly what brought me here so I could cure your husband…
alte_henry_ale_nic_JIGS,"Ah, forget it.","Ah, never mind."
alte_henry_ale_nic_qFhH,"Ah, forget it.",Never mind.
alte_henry_asi_ses_do_ni__hyfR,You probably hit it when I carried you through that passageway.,You must have banged it while I was carrying you through that passageway.
alte_henry_dojdu_za_petre_2cOE,I'll see Peter and examine him.,I'll go and have a look at Peter.
alte_henry_jasne_stejne_j_oZWT,Sure! Just like about Talmberg when you got shot in the ass!,I won't breathe a word about it. Same as how you got shot in the arse in Talmberg…
alte_henry_neves_hlavu_tr_FHjd,"Don't despair. I know a little bit about healing, and I'm gonna try to help your husband.","Don't worry. I know a bit about medicine, I'll try to treat your husband."
alte_henry_pani_ty_mas_hr_WjWF,A thunderstone! Good Lord! They're very rare. Where did you get it?,You have a thunderstone? Those are quite rare. How did you get it?
alte_henry_poslys_ohledne_qbVc,"Listen, about the stone.","Listen, about the stone…"
alte_henry_sycek_to_asi_n_eMjp,"A screech-owl? That doesn't bode well, does it?","An owl? That's a bad omen, isn't it?"
alte_henry_tak_povidej_ONxj,Tell me then…,Tell me then.
alte_henry_tak_snad_se_tv_GyZJ,I truly hope your husband gets better.,I hope your husband gets better soon.
alte_henry_tak_vidis_tak__awus,See? So do we have a deal?,Well? Do we have a deal?
alte_henry_to_me_mrzi_dou_h7Y9,I'm sorry to hear that. I hope Peter gets better.,I'm sorry to hear that. I hope Peter gets better soon.
alte_henry_tvuj_manzel_ne_ftYc,I hear your husband has fallen sick.,I heard your husband has fallen ill.
alte_henry_zkusil_bych_mu_nIeM,I could try helping him.,I'll try to help him.
alte_kovar_tac_hele_mlade_9HUp,"Alright lad, calm down, you're a bit too hasty. Listen up.","Alright, lad, calm down. You're a bit too hasty. Listen up."
alte_mlada_pec_a_nedavno__EfAt,And recently I saw a screech-owl sitting on our roof.,And recently I saw an owl sitting on our roof.
alte_mlada_pec_a_neodvazu_1xNC,I don't even dare think how much time he has left.,I don't even dare think how much time he has left…
alte_mlada_pec_a_pospes_p_UIvr,"But please, hurry. The owl and other omens. The Grim Reaper is sharpening his scythe, I can feel it.","But please, hurry… With the owl and other bad omens… I'm sure something bad is going to happen."
alte_mlada_pec_ale_vzdyt__iKuF,But that's what the stone's power is for.,But that's what the stone's power is for…
alte_mlada_pec_ale_ziskal_U6Mj,"But I bought a thunderstone, it has healing powers. I'm sure it'll help Peter.",But I bought a thunderstone. It has healing powers. I'm sure it'll help Peter.
alte_mlada_pec_bohuzel_je_fHjq,"Aye, it's true. Peter's been sick for a long time.","Aye, unfortunately. Peter's been ill for some time now."
alte_mlada_pec_bohuzel_je_mQIg,"Aye, he is.","Aye, unfortunately."
alte_mlada_pec_dobre_dobr_YJlF,"Good, great. Thank you.","Good, good. Thank you very much."
alte_mlada_pec_jen_co_se__cHMl,"He returned from his errands, lay on the bed and nothing seems to help him.","He came back from a trading trip, lay down and hasn't got up since."
alte_mlada_pec_koupila_js_42L0,I bought it from a traveller who found it after a big thunderstorm.,I bought it from a wayfarer who found it after a big storm.
alte_mlada_pec_neji_ani_s_pC7z,He doesn't eat and he's barely spoken a word.,"He doesn't eat, and he's barely spoken a word to anyone."
alte_mlada_pec_nevedela_j_w7JK,But there was a traveller who showed up recently with a thunderstone. He found it after a big thunderstorm.,But a wayfarer showed up here recently who had a thunderstone. Said he found it after a big storm.
alte_mlada_pec_petr_je_ne_QXQH,"Peter returned from his errands and went straight to bed. He's been sick ever since, and nothing I did helped.","Peter returned from a trading trip and went straight to bed. He's been ill ever since, and nothing is helping."
alte_mlada_pec_tak_jsem_h_1GFL,So I bought it from him. I spent almost everything we had for it.,So I bought it from him. I spent almost everything we had on it.
alte_mlada_pec_tak_tak_sy_ZDZR,"Aye, a screech-owl on the house means death is approaching.",Aye… An owl on the roof is a sign of death approaching…
alte_mlada_pec_tak_tak_uz_PHqi,"Aye, I've got nothing left but hope.","Aye, hope is all I have left."
alte_mlada_pec_ted_uz_nev_fibk,"I don't know what to do now… I don't have any money, and I don't know how to help Peter.","And now I don't know what to do… I don't have any money, and I have no idea how to help Peter."
alte_mlada_pec_tedatakhle_vdTq,"Well, I hadn't thought of it that way.","Well, I hadn't thought of it that way…"
alte_mlada_pec_ten_kamen__jg1k,"The thunderstone could have healed Peter, but I lost it. Someone must have stolen it!","The thunderstone had the power to heal Peter, but I lost it. Someone must have stolen it!"
alte_mlada_pec_to_ale_nej_EBGA,You can't have it. I bought it for my own money and I need it to heal Peter.,You can't have it. I bought it with my own money and I need it to heal Peter.
alte_mlada_pec_to_bys_vaz_qX4W,You'd do that for me? God will surely reward you!,You'd do that for me? May God reward you for your kindness!
alte_mlada_pec_ty_se_tady_BwTO,"What a gall to show your face here, after you've stolen my thunderstone!",How dare you show your face here after stealing my thunderstone?!
alte_mlada_pec_urcite_pom_RVmi,It surely will. What else could?,It surely will. What else could anyway?
alte_mlada_pec_urcite_se__Dw7K,"I'm sure he will, now when I have the stone.","I'm sure he will, now that I have the stone."
alte_mlada_pec_zmiz_odsud_me1j,"Get out of here, you filthy thief!","Get out of here, you lousy thief!"
alte_ptacek_ale_o_tomhle__ZuNI,But we are not going to speak of this ever again. Never. Understand?,But we're not going to speak of this ever again. Never. Understand?
alte_ptacek_chodbou_xbYs,Passageway?,What passageway?
alte_ptacek_mlc_uz_pryc_o_l73D,Please shut up. Let's get out of here.,Would you please shut up! Let's get out of here!
alte_ptacek_proc_me_tak_b_jEHO,Why does my head hurt so?!,Why is my head pounding?!
alte_stulec_az_budes_vede_jSCP,"When you find out more about the symbols, you know where to find me.","When you find out more about them symbols, you know where to find me."
alte_stulec_bacha_abys_to_qDab,Don't overthink it too much. There's nothing to think about.,Don't wear your brain out. There ain't nothing to think over.
alte_stulec_chce_vod_tebe_rwIb,Let me guess: it's something incredibly important that will help us in our noble fight?,Let me guess: it's something real important that'll help us in our noble cause?
alte_stulec_co_zas_vymysl_EcyY,What does he want this time? That idiot would be better off finding himself a woman instead of coming up with bullshit.,What does he want this time? That idiot would be better off finding himself a woman instead of thinking up damn fool shit.
alte_stulec_garantuju_ti__XviD,I guarantee you Sigismund doesn't give a fuck about any scribbles on houses. This is a missed opportunity to make some money for ourselves.,I guarantee you Sigismund don't give a fuck about no scribbles on houses. This is just a missed opportunity for us to line our purses.
alte_stulec_jeste_aby_cht_b8rg,That doesn't surprise me. Chenyek thinks it's the key to everything. He's all hot air.,That don't surprise me. Chenyek thinks it's the key to everything. He's all talk and no coin.
alte_stulec_jindro_kamara_15Gt,"Look here, friend, if you out something about the symbols and tell me - and I mean only me - I promise you, we'll be rich!","Look here, friend, if you find out something about them symbols and tell me - and I mean only me - I promise you, we'll make a fortune out of it!"
alte_stulec_kravina_je_de_HtkR,What's stupid is to help Chenyek with it! He's all hot air and will never be able to use this opportunity properly.,"What's stupid is helping Chenyek with it! He's all hot air, he ain't never going to use this opportunity properly."
alte_stulec_muze_z_nas_by_Cg29,"But us two would make a great duo, wouldn't we?","But us two would make a great pair, wouldn't we?"
