localization_key,score,reasons,English_reference,English_display,preserved_tokens,preserved_in_locales
albi_albik_z_u_jindrichu__TO5j,8,non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Henry | preserved token(s) also present in English reference,"Henry, that’s basic knowledge... And I’ve got plenty of other work. Can’t you sort it yourself?","Henry, that’s basic knowledge... And I’ve got plenty of other work. Can’t you sort it out yourself?",Henry,French; Italian; Portuguese; Spanish; Turkish; Vietnamese
albi_albik_z_u_povzdechjs_2nz5,7,non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: sigh | preserved token(s) also present in English reference,<sigh>I’m glad we can be certain now. But it’s hardly good news.,<sigh>I’m glad we can be certain now. But it’s hardly good news.,sigh,Chineset; French; Korean; Vietnamese
albi_albik_z_u_za_zaznamy_9RsX,7,non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Henry | preserved token(s) also present in English reference,Henry... Th... the records…,Henry... Th... the records…,Henry,French; Italian; Portuguese; Spanish; Turkish; Vietnamese
albi_dlc3_novi_mistre_alb_HFec,8,non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Albich | preserved token(s) also present in English reference,Master Albich… what if it turns out in the end that His Lordship was right about the plague?,Master Albich… what if it turns out in the end that The Right Reverend was right about the plague?,Albich,French; German; Italian; Portuguese; Spanish; Turkish; Vietnamese
albi_dlc3_novi_na_druhou__Ge7X,7,non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Joachim | preserved token(s) also present in English reference,"On the other hand, it’s tried and quick. If it works, Joachim won’t have to worry about fertilising.","On the other hand, it’s tried and quick. If it works, Joachim won’t have to worry about fertilising.",Joachim,French; German; Italian; Polish; Portuguese; Spanish; Turkish; Vietnamese
albi_henry_a_co_teda_mam__oYZ3,7,non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Maddie | preserved token(s) also present in English reference,So how can I help Maddie? The poor girl is suffering like a wounded animal…,So how can I help Maddie? The poor girl is suffering like a wounded animal…,Maddie,French; Italian; Portuguese; Spanish; Turkish; Vietnamese
alte_brabant_pro_krista_u_N4QG,8,"English reference/display differ | token(s) preserved across 3+ localized displays: Haha, histoire, Monsieur, Chapon | preserved token(s) also present in English reference","Ha Ha, I will enjoy hearing that histoire. Lord Capon kept that a secret from me!","Haha, I will enjoy hearing that histoire. Monsieur Chapon kept that a secret from me!",Haha; histoire; Monsieur; Chapon,Chineses; Chineset; Czech; French; German; Italian; Polish; Portuguese; Spanish; Turkish; Ukrainian; Vietnamese
alte_brabant_vidis_pane_p_3Cv6,8,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Monsieur, Chapon","You see, Lord Capon? You finally overcame your fear! With a bit of friendly help…","You see, Monsieur Chapon? You finally overcame your fear! With a little help from a friend…",Monsieur; Chapon,Chineses; Chineset; Czech; French; German; Italian; Polish; Portuguese; Spanish; Ukrainian; Vietnamese
alte_henry_cenek_po_mne_c_pRx8,7,non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Chenyek | preserved token(s) also present in English reference,Chenyek wants me to do something…,Chenyek wants me to do something…,Chenyek,French; German; Italian; Portuguese; Turkish; Vietnamese
alte_henry_jasne_stejne_j_oZWT,8,non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Talmberg | preserved token(s) also present in English reference,Sure! Just like about Talmberg when you got shot in the ass!,I won't breathe a word about it. Same as how you got shot in the arse in Talmberg…,Talmberg,French; German; Italian; Portuguese; Turkish; Vietnamese
alte_mlada_pec_ted_uz_nev_fibk,8,non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Peter | preserved token(s) also present in English reference,"I don't know what to do now… I don't have any money, and I don't know how to help Peter.","And now I don't know what to do… I don't have any money, and I have no idea how to help Peter.",Peter,French; German; Italian; Portuguese; Spanish; Turkish; Vietnamese
alte_stulec_placeholder_Ahn4,8,non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Chenyek | preserved token(s) also present in English reference,"Chenyek is a weakling, and too careful for his own good. Always babbling about his ideals, and our fellahs have to keep their mouth shut, cause they can't do this and that's not appropriate…","Chenyek is a weakling, and too careful for his own good. Always babbling about his ideals, telling our fellahs they can't do this and that's not appropriate…",Chenyek,French; German; Italian; Portuguese; Turkish; Vietnamese
alte_stulec_ses_tu_uz_nej_PJi6,7,non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Chenyek | preserved token(s) also present in English reference,"You've been here for some time now, so I'm sure you've noticed Chenyek is… well… you know…","You've been here for some time now, so I'm sure you've noticed Chenyek is… well… you know…",Chenyek,French; German; Italian; Portuguese; Turkish; Vietnamese
alte_stulec_ze_kdyby_samo_JqL3,7,non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Psssst | preserved token(s) also present in English reference,"Psssst! I'm trying to say that… in theory… if Chenyek's wasn't around, we'd all be better off.","Psssst! I'm trying to say that… in theory… if Chenyek's wasn't around, we'd all be better off.",Psssst,French; Italian; Portuguese; Turkish
anna_bohuta_pl_jostuv_pla_NqLn,8,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Margrave, plan | preserved token(s) also present in English reference","Margrave Jobst's plan has some gaps, M'Lady. We need to gather enough resources to…","Margrave Jobst's plan has some gaps, M'Lady. We need to gather enough resources to…",Margrave; plan,French; German; Polish; Portuguese; Spanish
anna_bohuta_pl_podporu_sv_PqDB,7,non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Sigismund | preserved token(s) also present in English reference,Nothing more than support and resources for an army to… parlay more effectively with Sigismund.,Nothing more than support and resources for an army to… parlay more effectively with Sigismund.,Sigismund,German; Turkish; Vietnamese
anna_bohuta_pl_umis_vyjed_ZLn4,7,non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: plan | preserved token(s) also present in English reference,"You're well able to negotiate and trade, and if you were to take part in our plan…","You're well able to negotiate and trade, and if you were to take part in our plan…",plan,French; German; Spanish
anna_stolba_ra_aspon_to_m_8bEG,8,non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Christopher | preserved token(s) also present in English reference,At least it was quick. While with Christopher…,At least it was quick. Whereas with Christopher…,Christopher,German; Italian; Portuguese; Spanish; Turkish; Vietnamese
anna_stolba_ra_pana_oderi_O0OP,8,non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Oderin | preserved token(s) also present in English reference,"They dragged lord Oderin who knows where… Almost killed his son, too.",They dragged Lord Oderin who knows where… And almost killed his son too.,Oderin,French; German; Italian; Portuguese; Spanish; Turkish; Vietnamese
anto_anton_kas_hej_kama___iS5C,8,non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Franzi | preserved token(s) also present in English reference,What the…where are we going? Where's Franzi?,What the…where are we gannin'? Where's Franzi?,Franzi,French; Italian; Portuguese; Spanish; Turkish; Vietnamese
anto_anton_kas_no_jo_rezy_znux,7,non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Tess | preserved token(s) also present in English reference,Wey aye… that Tess of mine is a wonderful lass.,Wey aye… that Tess of mine is a wonderful lass.,Tess,French; Italian; Portuguese; Spanish; Turkish; Vietnamese
anto_anton_kas_no_tak_jin_Kl9x,8,non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Henry | preserved token(s) also present in English reference,"Come on Henry, marra, don't leave me here… be so kind as to take me with you.","Howay, Henry marra, divvent leave me here… be a bonny lad and take me with ye.",Henry,French; Italian; Portuguese; Spanish; Turkish; Vietnamese
anto_francek__jo_za_to_ty_zVJK,7,non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Tess | preserved token(s) also present in English reference,Nae fash aboot me… When Tess sees you've been brawlin' she's going to pull your liggies up to your heed.,Nae fash aboot me… When Tess sees you've been brawlin' she's going to pull your liggies up to your heed.,Tess,French; Italian; Portuguese; Spanish; Turkish; Vietnamese
aran_aranka_je_to_jen_usp_aVvZ,7,non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: grai,It's just a… Let's just say his horse will have other things to think about. Like bowel movements.,"It is just a… Well, let us just say the grai will have other concerns, like trouble with belly.",grai,Italian; Portuguese; Russian; Ukrainian
aran_aranka_no_jelikoz_by_jTr9,7,non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: chay,"Well… since I'd like to see my daughter again, I'll try to help you win.","Well… since I'd like to see my chay again, I'll try to help you win.",chay,Italian; Portuguese; Russian; Spanish; Ukrainian
aran_aranka_u_stromu_z_je_URY5,7,non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: kasht,The tree I carved it from used to be a favourite meeting spot for young lovers. It's possible it'll want to draw on the same virility for its spells as its wood was used to…,The kasht I carved it from used to be a favourite meeting spot for young lovers. It's possible it'll want to draw on the same virility for its spells as its wood was used to…,kasht,French; Portuguese; Russian; Spanish
aren_dlc3_karl_jsem_karl__pYm7,7,non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Karl | preserved token(s) also present in English reference,"I’m Karl, a brother in arms of the Order of Teutonic Knights.","I’m Karl, a brother in arms of the Order of Teutonic Knights.",Karl,Czech; French; German; Italian; Portuguese; Spanish; Turkish; Vietnamese
arne_arne_nemec_aber_hein_lZYr,8,"English reference/display differ | token(s) preserved across 3+ localized displays: Aber, Heinrich, zuerst, Harnisch | preserved token(s) also present in English reference","!P Aber Heinrich, erste you must take off that steel Harnisch.","Aber Heinrich, zuerst you must take off that steel Harnisch.",Aber; Heinrich; zuerst; Harnisch,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
arne_arne_nemec_ach_so_ti_YGsq,8,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Sehr, schön","!P Ach so. In that case, you can count on me.","Sehr schön. In that case, you can count on me.",Sehr; schön,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Vietnamese
arne_arne_nemec_fick_dich_eNNB,7,"token(s) preserved across 3+ localized displays: Fick, dich, verstehst, verdammt, noch, nichts | preserved token(s) also present in English reference",Fick dich! Du verstehst verdammt noch mal nichts!,Fick dich! Du verstehst verdammt noch mal nichts!,Fick; dich; verstehst; verdammt; noch; nichts,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
arne_arne_nemec_ja_fruher_BLQs,8,"English reference/display differ | token(s) preserved across 3+ localized displays: vorher, Hafen, Schiffen, Stoffe | preserved token(s) also present in English reference","!P I was vorher working in Hafen by the Schiffen, Stoffe loading und unloading.","I was vorher working in Hafen by the Schiffen, Stoffe loading und unloading.",vorher; Hafen; Schiffen; Stoffe,Czech; French; German; Italian; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
arne_arne_nemec_ja_ja_nat_Xrty,7,non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: natürlich,"!P Ja, ja, naturlich. That is our rule. I will lend you a sword.","Ja, ja, natürlich. That is our rule. I will lend you a sword.",natürlich,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian
arne_arne_nemec_kdyby_jem_o2qr,8,"English reference/display differ | token(s) preserved across 3+ localized displays: Fechtens, Meister, Menhard, beste, Lehrmeister | preserved token(s) also present in English reference","If any man wants to learn the art of Fechtens, Meister Menhard is der beste Trainer!","If any man wants to learn the art of Fechtens, Meister Menhard is der beste Lehrmeister!",Fechtens; Meister; Menhard; beste; Lehrmeister,Chineses; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
arne_arne_nemec_kdys_ty_n_9mg7,8,"English reference/display differ | token(s) preserved across 3+ localized displays: vertrau, Meister, Menhard, Vieles | preserved token(s) also present in English reference","If you do not want, so alright. But vertrau mir, Meister Menhard can teach you viele!","If you do not want, so alright. But vertrau mir, Meister Menhard can teach you Vieles!",vertrau; Meister; Menhard; Vieles,Chineses; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
arne_arne_nemec_klar_ale__6Jhz,8,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Sicher, Kämpfen","!P Klar, but come in the morning or during the day. !P Now is too dark for Gefechten.","Sicher, but come in the morning or during the day. Now is too dark for Kämpfen.",Sicher; Kämpfen,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
arne_arne_nemec_meister_m_1pe9,7,"English reference/display differ | token(s) preserved across 3+ localized displays: Meister, Menhard, Langschwertmeister | preserved token(s) also present in English reference",Meister Menhard is the best Lengschwertmeister wide and far!,Meister Menhard is the best Langschwertmeister wide and far!,Meister; Menhard; Langschwertmeister,Czech; French; German; Italian; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
arne_arne_nemec_meister_m_m5B9,7,"token(s) preserved across 3+ localized displays: Meister, Menhard, beste, Fechter | preserved token(s) also present in English reference",Meister Menhard is challenging all comers. He is der beste Fechter wide and far. No better can you find.,Meister Menhard is challenging all comers. He is der beste Fechter wide and far. No better can you find.,Meister; Menhard; beste; Fechter,Chineses; Czech; French; German; Italian; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
arne_arne_nemec_na_ja_jen_KCYC,7,"English reference/display differ | token(s) preserved across 3+ localized displays: groschen, kaufen, Kuttenberg | preserved token(s) also present in English reference","!P Na ja! When I get enough groschen, I will the best in Kuttenberg einkaufen!","Na ja! When I get enough groschen, I will kaufen the best in Kuttenberg!",groschen; kaufen; Kuttenberg,Chineses; Czech; French; German; Italian; Polish; Portuguese; Spanish; Turkish; Ukrainian; Vietnamese
arne_arne_nemec_od_te_dob_Rwv4,8,"English reference/display differ | token(s) preserved across 3+ localized displays: Zeit, Meister, Menhard, studiere, Fechten, guten, Namen | preserved token(s) also present in English reference","!P Since that Zeit I am honest. I serve Meister Menhard, studiere Fechten and make for me a guten Namen.","Since that Zeit I am honest. I serve Meister Menhard, studiere Fechten and make for me a guten Namen.",Zeit; Meister; Menhard; studiere; Fechten; guten; Namen,Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
arne_arne_nemec_tuche_z_t_vstB,7,"token(s) preserved across 3+ localized displays: Stoffe, daraus, Frankfurt, gibt, Stoffen | preserved token(s) also present in English reference",Stoffe... they make clothing daraus. In Frankfurt gibt es a big trade mit Stoffen.,Stoffe... they make clothing daraus. In Frankfurt gibt es a big trade mit Stoffen.,Stoffe; daraus; Frankfurt; gibt; Stoffen,Chineses; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
arne_arne_nemec_ty_heinri_nqeV,7,"token(s) preserved across 3+ localized displays: Heinrich, besser, Menhard, Sprache | preserved token(s) also present in English reference","Heinrich, it is besser, when you with mit Menhard speak. He speaks your Sprache besser.","Heinrich, it is besser, when you with mit Menhard speak. He speaks your Sprache besser.",Heinrich; besser; Menhard; Sprache,Chineses; Chineset; Czech; French; German; Italian; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
arne_arne_nemec_zdejsi_fe_o6yW,7,"token(s) preserved across 3+ localized displays: Fechter, hier, Meister, Menhard | preserved token(s) also present in English reference","The Fechter hier falsely claim to be Meisters, but none of them can match Meister Menhard!","The Fechter hier falsely claim to be Meisters, but none of them can match Meister Menhard!",Fechter; hier; Meister; Menhard,Chineses; Chineset; French; German; Italian; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
arne_menhart_z_stacil_by__FBew,7,"English reference/display differ | token(s) preserved across 3+ localized displays: Arne, guter, Kerl | preserved token(s) also present in English reference",Would Arne suffice? Sie es ein gut Kerl. He'll help you.,Would Arne suffice? Er ist ein guter Kerl. He will help you.,Arne; guter; Kerl,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
assa_npc_bylo__pomoc_rych_OMEZ,8,"English reference/display differ | token(s) preserved across 3+ localized displays: Pomojinen, mange, chingerel, kotora | preserved token(s) also present in English reference","!T Pomojinen mange, sig, te man na chingerel pro kotora!","Pomojinen mange, sig, te man na chingerel pro kotora!",Pomojinen; mange; chingerel; kotora,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
assa_npc_bylo__vodved_si__AT5l,7,"English reference/display differ | token(s) preserved across 3+ localized displays: Trade, dandvalo, tifusis | preserved token(s) also present in English reference",!T Trade oda dandvalo tifusis het!,Trade oda dandvalo tifusis het!,Trade; dandvalo; tifusis,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
assa_npc_vidi__dalsi_rvac_dKod,7,"English reference/display differ | token(s) preserved across 3+ localized displays: mariben, Devla, miro | preserved token(s) also present in English reference",!T Mek yek mariben? Oy Devla miro!,Mek yek mariben? Oy Devla miro!,mariben; Devla; miro,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
assa_npc_vidi__hodnej_hod_rjV8,8,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: akarsz, bántani",Good boy! Good boy! You don't want to do that!,Jó fiú. jó fiú. Nem akarsz bántani.,akarsz; bántani,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
assa_npc_vidi__jeste_neko_ikyM,7,"English reference/display differ | token(s) preserved across 3+ localized displays: bringst, noch, jemanden | preserved token(s) also present in English reference",!P Du wirst noch jemanden umbringen!,Du bringst noch jemanden um!,bringst; noch; jemanden,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
assa_npc_vidi__jezismarja_STWm,7,"English reference/display differ | token(s) preserved across 3+ localized displays: Devla, savo, beng | preserved token(s) also present in English reference","!T Devla, savo beng oda hin?","Devla, savo beng oda hin?",Devla; savo; beng,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Turkish; Ukrainian; Vietnamese
assa_npc_vidi__kurva_cokl_0fyH,8,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Picsába, kutya",Kurva! A dog!,Picsába! Egy kutya!,Picsába; kutya,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
assa_npc_vidi__kyho_slaka_mzRi,7,"English reference/display differ | token(s) preserved across 3+ localized displays: Devla, maker, imar | preserved token(s) also present in English reference","!T Devla, de man smirom!","Devla, maker imar.",Devla; maker; imar,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
assa_npc_vidi__mein_gott__8q9v,7,"English reference/display differ | token(s) preserved across 3+ localized displays: Mein, Gott, lass | preserved token(s) also present in English reference","!P Mein Gott, stop that!","Mein Gott, lass das!",Mein; Gott; lass,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian
assa_npc_vidi__mein_gott__kOHE,8,"English reference/display differ | token(s) preserved across 3+ localized displays: Mein, Gott, Dieser, Hund | preserved token(s) also present in English reference",!P Mein Gott! Dieser Hund...,Mein Gott! Dieser Hund ...,Mein; Gott; Dieser; Hund,Chineses; Chineset; Czech; French; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Vietnamese
assa_npc_vidi__pomatl_ses_gCws,7,non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Dilinardžal,!T Demadyal tut o shero?,Dilinardžal?,Dilinardžal,German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
assa_npc_vidi__proc_se_rv_WzV7,7,"English reference/display differ | token(s) preserved across 3+ localized displays: Soske, tumen, maren | preserved token(s) also present in English reference",!T Soske tumen maren?,Soske tumen maren?,Soske; tumen; maren,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
assa_npc_vzdav_kurva_ten__5lGR,7,non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Kurva | preserved token(s) also present in English reference,Kurva… That bastard's vanished.,Kurva… That bastard's vanished.,Kurva,Chineset; Czech; French; German; Portuguese; Spanish; Turkish; Vietnamese
assa_pratelske_du_verruck_38M2,8,non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Verrückter | preserved token(s) also present in English reference,!P Du Verrückter!,Du Verrückter!,Verrückter,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
assa_pratelske_scheisse_I25T,7,non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Scheiße,Scheisse!,Scheiße!,Scheiße,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
assa_pratelske_vo_co_ti_j_mR64,7,"English reference/display differ | token(s) preserved across 3+ localized displays: soste, djas, more | preserved token(s) also present in English reference","!T Pal soste džas, more?","Pal soste djas, more?",soste; djas; more,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
babk_bozena_ko_tam_nemuze_5ZMy,8,non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Tachov | preserved token(s) also present in English reference,Ehh… better no go in there. There's a fellah from Tachov lying there with dysentry.,Ehh… better not go in there. There's a fellah from Tachov lying there with dysentery.,Tachov,French; Italian; Portuguese; Spanish; Vietnamese
bals_jan_balsa_tak_se_vrat_m3Bw,8,non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Moravia | preserved token(s) also present in English reference,"Hmm. In Moravia, the men would have fallen into ranks just to set off with me. But in this place…?","Hmm. In Moravia, the fellahs would be lining up to ride with me. But in this place…?",Moravia,Italian; Spanish; Vietnamese
band_bandita_u_die_waffe__QrxX,8,"English reference/display differ | token(s) preserved across 3+ localized displays: Waffe, wird, nicht, helfen, Mistkerl | preserved token(s) also present in English reference","!P Die Waffe wird dir nicht helfen, du Mistkerl!","Die Waffe wird dir nicht helfen, du Mistkerl!",Waffe; wird; nicht; helfen; Mistkerl,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
band_bandita_u_du_hast_pe_Igrs,7,"English reference/display differ | token(s) preserved across 3+ localized displays: hast, Pech, Bastard | preserved token(s) also present in English reference","!P Du hast Pech, du Bastard!","Du hast Pech, du Bastard!",hast; Pech; Bastard,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
