localization_key,classification,detected_language,detected_languages,language_status,foreign_score,english_signal_count,matched_foreign_signals,strong_foreign_signals,weak_foreign_signals,shared_foreign_signals,suppressed_name_signals,language_evidence,English_reference,English_display,review_bucket,priority,reference_differs,review_decision,verified_foreign_span,verified_meaning,review_notes
gree_pozdrav_z_gru_dich_w_oouZ,likely_full_foreign,german,german,single,14,0,Grüß; dich; ich; dir; mein; Freund,Grüß; dich; mein; Freund,ich; dir,,,"german=14[Grüß, dich, ich, dir, mein, Freund]","!P Grüß dich! Wie kann ich dir helfen, mein Freund?","Grüß dich! Wie kann ich dir helfen, mein Freund?",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
kost_kostky_pr_das_ist_ni_1mdO,likely_full_foreign,german,german,single,14,0,Das; ist; nicht,nicht,Das; ist,,,"german=14[Das, ist, nicht]",Das ist nicht möglich! Das ist einfach nicht möglich...,Das ist nicht möglich! Das ist einfach nicht möglich ...,full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
reak_soldier_k_es_ist_vor_L2xk,likely_full_foreign,german,german,single,14,0,ist; aber; das; nicht; gut; Ich,aber; nicht,ist; das; gut; Ich,,,"german=14[ist, aber, das, nicht, gut, Ich]","!P Es ist vorbei, aber das ist nicht gut... Ich blute.","Es ist vorbei, aber das ist nicht gut … Ich blute.",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
ulri_event_tab_gut_gut_es_bBId,likely_full_foreign,german,german,single,14,0,Gut; gut; ist; nicht; doch; auf; und; ein; das,nicht; doch,Gut; gut; ist; auf; und; ein; das,,,"german=14[Gut, gut, ist, nicht, doch, auf, und, ein, das]","Gut, gut, es ist nicht wichtig, doch Wir saß auf einem Felsenstein, und schlug ein Bein über das andre Bein...","Gut, gut, es ist nicht wichtig, doch wir saßen auf einem Stein, und schlugen ein Bein über das andre Bein …",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
gree_pozdrav_m_gru_dich_w_E1vx,likely_full_foreign,german,german,single,13,0,Grüß; dich; ich; dir; mein; Herr,Grüß; dich; mein; Herr,ich; dir,,,"german=13[Grüß, dich, ich, dir, mein, Herr]","Grüß dich! Wie kann ich dir helfen, mein Herr?","Grüß dich! Wie kann ich dir helfen, mein Herr?",full_foreign_translation,highest,no,,,,display is likely fully foreign
gree_pozdrav_z_gru_dich_w_scax,likely_full_foreign,german,german,single,13,0,Grüß; dich; ich; dir; mein; Herr,Grüß; dich; mein; Herr,ich; dir,,,"german=13[Grüß, dich, ich, dir, mein, Herr]","!P Grüß dich! Wie kann ich dir helfen, mein Herr?","!P Grüß dich! Wie kann ich dir helfen, mein Herr?",full_foreign_translation,highest,no,,,,display is likely fully foreign
tara_taras_mura_ab_insidi_qjH6,likely_full_foreign,latin,latin,single,13,0,Domine; Benedictus; Deus; Gloria,Domine; Benedictus; Deus; Gloria,,,,"latin=13[Domine, Benedictus, Deus, Gloria]","Ab insidiis diaboli, libera nos, Domine. Benedictus deus. Gloria patri.","Ab insidiis diaboli, libera nos, Domine. Benedictus Deus. Gloria patri.",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
comb_hejtman_f_hm_ale_jo__hfqM,likely_full_foreign,german,german,single,12,0,Aber; ja; warum; nicht,Aber; warum; nicht,ja,,,"german=12[Aber, ja, warum, nicht]","!P Hmm... Aber ja, warum nicht?","Hmm … Aber ja, warum nicht?",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
comb_hejtman_s_hm_ale_jo__odQd,likely_full_foreign,german,german,single,12,0,Aber; ja; warum; nicht,Aber; warum; nicht,ja,,,"german=12[Aber, ja, warum, nicht]","!P Hmm... Aber ja, warum nicht?","Hmm … Aber ja, warum nicht?",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
comb_mikulas_p_ale_jo_pro_CnAL,likely_full_foreign,german,german,single,12,0,Aber; ja; warum; nicht,Aber; warum; nicht,ja,,,"german=12[Aber, ja, warum, nicht]","!P Aber ja, warum nicht?","Aber ja, warum nicht?",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
rozl_obchodnic_oh_es_ist__ooCf,likely_full_foreign,german,german,single,12,0,Das; ist; aber; mein; Freund,aber; mein; Freund,Das; ist,,,"german=12[Das, ist, aber, mein, Freund]","Oh, es ist schade, mein Freund.","Das ist aber schade, mein Freund.",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
rozl_obchodnik_oh_es_ist__BkgQ,likely_full_foreign,german,german,single,12,0,Das; ist; aber; mein; Freund,aber; mein; Freund,Das; ist,,,"german=12[Das, ist, aber, mein, Freund]","Oh, es ist schade, mein Freund.","Das ist aber schade, mein Freund.",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
vyzv_arne_nemec_das_ist_n_KByO,likely_full_foreign,german,german,single,12,0,Das; ist; nicht; gut,nicht,Das; ist; gut,,,"german=12[Das, ist, nicht, gut]","Das ist nicht gut, Menhard. Es ist ungerecht!","Das ist nicht gut, Menhard. Es ist ungerecht!",full_foreign_translation,highest,no,,,,display is likely fully foreign
goss_situace_z_ich_verste_2R3U,likely_full_foreign,german,german,single,11,0,Ich; verstehe; aber; das; nichts,verstehe; aber; nichts,Ich; das,,,"german=11[Ich, verstehe, aber, das, nichts]","Ich verstehe Sie nicht, aber das macht nichts!","Ich verstehe kein Wort, aber das macht nichts!",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
gree_pozdrav_n_mein_freun_KxnG,likely_full_foreign,german,german,single,11,0,Mein; Freund; ich; dich; deine,Mein; Freund; dich; deine,ich,,,"german=11[Mein, Freund, ich, dich, deine]","!P Mein Freund, ich beneide dich total um deine Trunkenheit.","!P Mein Freund, ich beneide dich total um deine Trunkenheit.",full_foreign_translation,highest,no,,,,display is likely fully foreign
gree_pozdrav_n_mein_freun_nrPi,likely_full_foreign,german,german,single,11,0,Mein; Freund; ich; dich; deine,Mein; Freund; dich; deine,ich,,,"german=11[Mein, Freund, ich, dich, deine]","!P Mein Freund, ich beneide dich total um deine Trunkenheit.","!P Mein Freund, ich beneide dich total um deine Trunkenheit.",full_foreign_translation,highest,no,,,,display is likely fully foreign
muz__hospodsky_ja_naturli_tXxh,likely_full_foreign,german,german,single,11,0,Ja; natürlich; mein; Herr,natürlich; mein; Herr,Ja,,,"german=11[Ja, natürlich, mein, Herr]","!P Ja, natürlich mein Herr.","Ja, natürlich mein Herr.",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
pozd_uctivy_po_gru_gott_m_4JK4,likely_full_foreign,german,german,single,11,0,Grüß; Gott; mein; Herr,Grüß; Gott; mein; Herr,,,,"german=11[Grüß, Gott, mein, Herr]","Grüß Gott, mein Herr!","Grüß Gott, mein Herr!",full_foreign_translation,highest,no,,,,display is likely fully foreign
pozd_uctivy_po_gru_gott_m_Zh06,likely_full_foreign,german,german,single,11,0,Grüß; Gott; mein; Herr,Grüß; Gott; mein; Herr,,,,"german=11[Grüß, Gott, mein, Herr]","Grüss Gott, mein Herr!","Grüß Gott, mein Herr!",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
rozl_louceni_p_warum_halt_S3rF,likely_full_foreign,german,german,single,11,0,Warum; mich; auf; wenn; nichts,Warum; mich; wenn; nichts,auf,,,"german=11[Warum, mich, auf, wenn, nichts]","!P Warum hältst du mich auf, wenn du nichts brauchst?","Warum hältst du mich auf, wenn du nichts brauchst?",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
ulri_event_tab_gott_zum_g_D7ro,likely_full_foreign,german,german,single,11,0,Gott; mein; Freund; ein; und,Gott; mein; Freund,ein; und,,,"german=11[Gott, mein, Freund, ein, und]","Gott zum Gruße, mein Freund! Ulrich von Remold, ein dichter und ein Pilger im Land der Narren.","Gott zum Gruße, mein Freund! Ulrich von Remold, ein Dichter und ein Pilger im Land der Narren.",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
zena_hospodska_ja_naturli_M9br,likely_full_foreign,german,german,single,11,0,Ja; natürlich; mein; Herr,natürlich; mein; Herr,Ja,,,"german=11[Ja, natürlich, mein, Herr]","!P Ja, natürlich mein Herr.","Ja, natürlich mein Herr.",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
gree_pozdrav_m_mein_gott__Fipv,likely_full_foreign,german,german,single,10,0,Mein; Gott; Warum; Hintern,Mein; Gott; Warum; Hintern,,,,"german=10[Mein, Gott, Warum, Hintern]","Mein Gott! Was tust du, hier mit einem nackten Hintern herumzulaufen?!",Mein Gott! Warum läufst du hier mit nacktem Hintern herum?!,full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
gree_pozdrav_m_mein_gott__RrST,likely_full_foreign,german,german,single,10,0,Mein; Gott; Ist; das,Mein; Gott,Ist; das,,,"german=10[Mein, Gott, Ist, das]",Mein Gott! Das ist Blut?,Mein Gott! Ist das Blut?,full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
gree_pozdrav_n_mein_gott__eRz5,likely_full_foreign,german,german,single,10,0,Mein; Gott; Das; ist,Mein; Gott,Das; ist,,,"german=10[Mein, Gott, Das, ist]",!P Mein Gott! Das ist Blut?,!P Mein Gott! Das ist Blut?,full_foreign_translation,highest,no,,,,display is likely fully foreign
gree_pozdrav_n_mein_gott__veig,likely_full_foreign,german,german,single,10,0,Mein; Gott; Das; ist,Mein; Gott,Das; ist,,,"german=10[Mein, Gott, Das, ist]",!P Mein Gott! Das ist Blut?,!P Mein Gott! Das ist Blut?,full_foreign_translation,highest,no,,,,display is likely fully foreign
gree_pozdrav_z_mein_gott__7VG5,likely_full_foreign,german,german,single,10,0,Mein; Gott; Das; ist,Mein; Gott,Das; ist,,,"german=10[Mein, Gott, Das, ist]",!P Mein Gott! Das ist Blut?,!P Mein Gott! Das ist Blut?,full_foreign_translation,highest,no,,,,display is likely fully foreign
opon_oponent_s_das_hilft__GycN,likely_full_foreign,german,german,single,10,0,Das; dir; nicht; weiter,nicht; weiter,Das; dir,,,"german=10[Das, dir, nicht, weiter]",!P Das hilft dir nicht weiter!,Das hilft dir nicht weiter!,full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
pozd_pozdrav_n_schon_dich_51zb,likely_full_foreign,german,german,single,10,0,Schön; dich; mein; Freund,Schön; dich; mein; Freund,,,,"german=10[Schön, dich, mein, Freund]","Schön dich zu sehen, mein Freund!","Schön dich zu sehen, mein Freund!",full_foreign_translation,highest,no,,,,display is likely fully foreign
pozd_pozdrav_n_schon_dich_jmpr,likely_full_foreign,german,german,single,10,0,Schön; dich; mein; Freund,Schön; dich; mein; Freund,,,,"german=10[Schön, dich, mein, Freund]","Schön dich zu sehen, mein Freund!","Schön dich zu sehen, mein Freund!",full_foreign_translation,highest,no,,,,display is likely fully foreign
samo_samomluva_gut_das_is_mUWY,likely_full_foreign,german,german,single,10,0,Gut; Das; ist; gut,,Gut; Das; ist; gut,,,"german=10[Gut, Das, ist, gut]",!P Gut... das ist gut.,Gut ... Das ist gut.,full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
smlo_smlouvani_ja_das_ist_6DXx,likely_full_foreign,german,german,single,10,0,Ja; das; ist; gut,,Ja; das; ist; gut,,,"german=10[Ja, das, ist, gut]","!P Ja, das ist gut.","Ja, das ist gut.",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
smlo_smlouvani_ja_das_ist_z1CC,likely_full_foreign,german,german,single,10,0,Ja; das; ist; gut,,Ja; das; ist; gut,,,"german=10[Ja, das, ist, gut]","!P Ja, das ist gut.","Ja, das ist gut.",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
spec_oswald_to_hm_was_fur_JEMX,likely_full_foreign,german,german,single,10,0,das; ist; ja; eine,eine,das; ist; ja,,,"german=10[das, ist, ja, eine]","!P Hm, was für eine Überraschung?","Hm, das ist ja eine Überraschung.",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
vyvo_vyvolavan_einkaufen__QRDo,likely_full_foreign,german,german,single,10,0,ein; Ich; Kommt; und,Kommt,ein; Ich; und,,,"german=10[ein, Ich, Kommt, und]","Einkaufen! Einkaufen! Ich schliesse bald... Komm und Einkaufen, Liute!","Kauft ein, kauft ein! Ich schließe bald … Kommt und kauft, Leute!",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
vyvo_vyvolavan_geschaft_i_8fbg,likely_full_foreign,german,german,single,10,0,ein; Ich; Kommt; und,Kommt,ein; Ich; und,,,"german=10[ein, Ich, Kommt, und]","Einkaufen! Einkaufen! Ich schliesse bald... Komm und Einkaufen, Liute!","Kauft ein, kauft ein! Ich schließe bald … Kommt und kauft, Leute!",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
gree_obchodnik_wie_kann_i_cSy3,likely_full_foreign,german,german,single,9,0,ich; dir; mein; Freund,mein; Freund,ich; dir,,,"german=9[ich, dir, mein, Freund]","Wie kann ich dir helfen, mein Freund?","Wie kann ich dir helfen, mein Freund?",full_foreign_translation,highest,no,,,,display is likely fully foreign
gree_pozdrav_m_gru_dich_a_qepG,likely_full_foreign,german,german,single,9,0,Grüß; dich; Aber; ja,Grüß; dich; Aber,ja,,,"german=9[Grüß, dich, Aber, ja]",Grüß dich... aber du bist voller Blut!,Grüß dich … Aber du bist ja voller Blut!,full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
gree_pozdrav_m_gru_dich_w_KvFt,likely_full_foreign,german,german,single,9,0,Grüß; dich; ich; dir,Grüß; dich,ich; dir,,,"german=9[Grüß, dich, ich, dir]",Grüß dich! Wie kann ich dir helfen?,Grüß dich! Wie kann ich dir helfen?,full_foreign_translation,highest,no,,,,display is likely fully foreign
gree_pozdrav_m_mazel_tov_F73e,likely_full_foreign,yiddish_hebrew,yiddish_hebrew,single,9,0,mazel tov; Mazel; tov,mazel tov; Mazel,tov,,,"yiddish_hebrew=9[mazel tov, Mazel, tov]",!P Mazel tov!,Mazel tov!,full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
gree_pozdrav_m_mein_freun_NkqT,likely_full_foreign,german,german,single,9,0,Mein; Freund; ich; auch,Mein; Freund; auch,ich,,,"german=9[Mein, Freund, ich, auch]","Mein Freund, ich beneide dich total um deine Trunkenheit.","Mein Freund, ich wäre jetzt auch gerne betrunken.",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
gree_pozdrav_m_wie_kann_i_laXM,likely_full_foreign,german,german,single,9,0,ich; dir; mein; Freund,mein; Freund,ich; dir,,,"german=9[ich, dir, mein, Freund]","Wie kann ich dir helfen, mein Freund?","Wie kann ich dir helfen, mein Freund?",full_foreign_translation,highest,no,,,,display is likely fully foreign
gree_pozdrav_n_gruss_gott_O07K,likely_full_foreign,german,german,single,9,0,Grüß; Gott; Freund,Grüß; Gott; Freund,,,,"german=9[Grüß, Gott, Freund]","!P Grüss Gott, Mann!","Grüß Gott, Freund!",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
gree_pozdrav_z_gru_dich_a_pT7X,likely_full_foreign,german,german,single,9,0,Grüß; dich; aber; ja,Grüß; dich; aber,ja,,,"german=9[Grüß, dich, aber, ja]",!P Grüß dich... aber du bist voller Blut!,Grüß dich … aber du bist ja voller Blut!,full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
gree_pozdrav_z_gru_dich_w_Qobd,likely_full_foreign,german,german,single,9,0,Grüß; dich; ich; dir,Grüß; dich,ich; dir,,,"german=9[Grüß, dich, ich, dir]",!P Grüß dich! Wie kann ich dir helfen?,Grüß dich! Wie kann ich dir helfen?,full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
gree_pozdrav_z_mein_freun_XHAj,likely_full_foreign,german,german,single,9,0,Mein; Freund; ich; auch,Mein; Freund; auch,ich,,,"german=9[Mein, Freund, ich, auch]","!P Mein Freund, ich beneide dich total um deine Trunkenheit.","Mein Freund, ich wäre jetzt auch gerne betrunken.",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
gree_pozdrav_z_wie_kann_i_OVJr,likely_full_foreign,german,german,single,9,0,ich; dir; mein; Freund,mein; Freund,ich; dir,,,"german=9[ich, dir, mein, Freund]","!P Wie kann ich dir helfen, mein Freund?","Wie kann ich dir helfen, mein Freund?",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
horn_pozdrav_h_gruss_gott_kZMq,likely_full_foreign,german,german,single,9,0,Grüß; Gott; Freund,Grüß; Gott; Freund,,,,"german=9[Grüß, Gott, Freund]","!P Grüss Gott, Mann!","Grüß Gott, Freund!",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
laze_lazebnice_das_ist_al_Z4d0,likely_full_foreign,german,german,single,9,0,Das; ist; mein; Freund,mein; Freund,Das; ist,,,"german=9[Das, ist, mein, Freund]","Geschehen! Das ist alles, mein Freund.","Fertig! Das ist alles, mein Freund.",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
laze_lazebnice_hm_es_ist__2Q0t,likely_full_foreign,german,german,single,9,0,nicht; mein; Freund,nicht; mein; Freund,,,,"german=9[nicht, mein, Freund]","Hm, es ist nicht schlecht... nicht schlecht, mein Freund.","Hm, nicht schlecht ... nicht schlecht, mein Freund.",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
muz__hospodsky_ja_warum_n_0BZM,likely_full_foreign,german,german,single,9,0,Ja; warum; nicht,warum; nicht,Ja,,,"german=9[Ja, warum, nicht]","!P Ja, warum nicht?","Ja, warum nicht?",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
pozd_pozdrav_n_gott_segne_L3JS,likely_full_foreign,german,german,single,9,0,Gott; dich; mein; Freund,Gott; dich; mein; Freund,,,,"german=9[Gott, dich, mein, Freund]","Gott segne dich, mein Freund!","Gott segne dich, mein Freund!",full_foreign_translation,highest,no,,,,display is likely fully foreign
pozd_pozdrav_n_gott_segne_dfFz,likely_full_foreign,german,german,single,9,0,Gott; dich; mein; Freund,Gott; dich; mein; Freund,,,,"german=9[Gott, dich, mein, Freund]","Gott segne dich, mein Freund!","Gott segne dich, mein Freund!",full_foreign_translation,highest,no,,,,display is likely fully foreign
pozd_pozdrav_n_gru_gott_m_9RUG,likely_full_foreign,german,german,single,9,0,Grüß; Gott; meine,Grüß; Gott; meine,,,,"german=9[Grüß, Gott, meine]","!P Grüss Gott, meine Damen!","Grüß Gott, meine Damen!",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
pozd_sousedsky_zaj_gezunt_9dX9,likely_full_foreign,yiddish_hebrew,yiddish_hebrew,single,9,0,mazel tov; Mazel; tov,mazel tov; Mazel,tov,,,"yiddish_hebrew=9[mazel tov, Mazel, tov]",Mazel tov!,Mazel tov!,full_foreign_translation,highest,no,,,,display is likely fully foreign
pozd_uctivy_po_gru_gott_m_f0Sp,likely_full_foreign,german,german,single,9,0,Grüß; Gott; meine,Grüß; Gott; meine,,,,"german=9[Grüß, Gott, meine]","!P Gruss Gott, meine Herrin!","Grüß Gott, meine Herrin!",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
reme_remeslnik_ich_kann_d_WP7p,likely_full_foreign,german,german,single,9,0,Mein; Gott; ich; nicht,Mein; Gott; nicht,ich,,,"german=9[Mein, Gott, ich, nicht]","!P Mein Gott, ich kann nicht mehr.","Mein Gott, ich kann nicht mehr.",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
rozh_kupec_vel_jo_proc_ne_ninO,likely_full_foreign,german,german,single,9,0,Gut; warum; nicht,warum; nicht,Gut,,,"german=9[Gut, warum, nicht]","Gut, warum nicht?","Gut, warum nicht?",full_foreign_translation,highest,no,,,,display is likely fully foreign
situ_situace_m_ich_habe_n_72P7,likely_full_foreign,german,german,single,9,0,Aber; ich; doch; nichts,Aber; doch; nichts,ich,,,"german=9[Aber, ich, doch, nichts]",Ich habe nichts getan!,Aber ich habe doch nichts getan!,full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
tara_taras_mura_benedictu_nlNF,likely_full_foreign,latin,latin,single,9,0,Benedictus; deus; Gloria,Benedictus; deus; Gloria,,,,"latin=9[Benedictus, deus, Gloria]",!P Benedictus deus. Gloria patri.,Benedictus deus. Gloria patri.,full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
ulri_event_tab_ja_ja_gute_aVZi,likely_full_foreign,german,german,single,9,0,und; auf; mein; Freund,mein; Freund,und; auf,,,"german=9[und, auf, mein, Freund]","Gute Fahrt und auf Wiedersehen, mein Freund.","Gute Reise und auf Wiedersehen, mein Freund.",full_foreign_translation,highest,yes,,,,"English_reference differs from English_display; treat as variant/reference evidence, not as a translation | display is likely fully foreign"
