occurrence_count,total_localization_keys,max_revised_score,min_revised_score,classification,direct_reference_candidate,English_display,English_reference,preserved_tokens,sample_localization_keys
1,1,15,15,likely_foreign_phrase,yes,"Mein Gott, ich kann nicht mehr.","!P Mein Gott, ich kann nicht mehr.",Gott; Mein; kann; mehr; nicht,reme_remeslnik_ich_kann_d_WP7p
1,1,15,15,likely_foreign_phrase,yes,"Mein Gott, wo ist es bloß?","Mein Gott, wo ist es?",Gott; Mein; bloß,hosp_hospodsky_mein_gott__gLQ3
1,1,15,15,likely_foreign_phrase,yes,"Oh, Scheiße, ich blute … das ist nicht gut.","!P Oh, Scheisse, ich blute... das ist nicht gut.",Scheiße; blute; nicht,reak_soldier_k_oh_scheiss_kNgV
1,1,15,15,likely_foreign_phrase,yes,"Oh, mein Gott … es ist vorbei.","!P Oh, mein Gott... es ist vorbei.",Gott; mein; vorbei,reak_soldier_k_oh_mein_go_SV0k
1,1,15,15,likely_foreign_phrase,yes,"Oh, mein Gott, Jungs …","!P Oh, mein Gott, Jungs...",Gott; Jungs; mein,utik_soldier_u_oh_mein_go_U921
1,1,15,15,likely_foreign_phrase,yes,"Und jetzt … Come try it out a few times, mein Freund.","!P Und jetzt... Come try it out a few times, mein Freunde.",Freund; jetzt; mein,comb_hejtman_f_a_ted_si_t_6sEe
1,1,15,15,likely_foreign_phrase,yes,"Was wünschst du, mein Herr?","Was wünscht du, mein Herr?",Herr; mein; wünschst,gree_obchodnik_was_wunsch_LXKv
1,1,15,15,likely_foreign_phrase,yes,"Well, that’s settled, auf Wiedersehen mein Freund.","Well, that’s settled, Auf Wiedersehen mein Freund.",Freund; Wiedersehen; mein,rozh_kupec_vel_tak_to_byc_GNwW
2,2,14,14,likely_foreign_phrase,yes,Auf Wiedersehen und einen guten Abend für dich!,!P Auf Wiedersehen und Guten Abend!,Abend; Wiedersehen; dich; einen; guten,endi_rozloucen_auf_wieder_jbrq; endi_rozloucen_auf_wieder_sj0d
2,2,14,14,likely_foreign_phrase,yes,Bis bald und einen guten Abend für dich!,!P Bis bald und Guten Abend!,Abend; bald; dich; einen; guten,endi_rozloucen_bis_bald_u_TkzD; endi_rozloucen_bis_bald_u_kcUz
2,2,14,14,likely_foreign_phrase,yes,"Ein Bad würde dir nicht schaden, du Schmutzfink!","!P Ein Bad würde dir nicht schaden, Schmutzer! || Ein Bad würde dir nicht schaden, Schmutzer!",Schmutzfink; nicht; schaden; würde,gree_pozdrav_m_ein_bad_wu_wECU; gree_pozdrav_z_ein_bad_wu_ruHk
2,2,14,14,likely_foreign_phrase,yes,"Gott sei mit dir, mein Herr!","!P Gott mit dir, Mein Herr!",Gott; Herr; mein,endi_rozloucen_gott_mit_d_aMhC; endi_rozloucen_gott_mit_d_ffjt
2,2,14,14,likely_foreign_phrase,yes,Grüß Gott! Was willst du denn nachts noch?,!P Grüß Gott! Was willst du nachts so? || Grüß Gott! Was willst du nachts so?,Gott; Grüß; denn; nachts; noch; willst,gree_pozdrav_m_gru_gott_w_a2kX; gree_pozdrav_z_gru_gott_w_k8Ur
2,2,14,14,likely_foreign_phrase,yes,Grüß dich! Was willst du denn nachts noch?,!P Grüß dich! Was willst du nachts so? || Grüß dich! Was willst du nachts so?,Grüß; denn; dich; nachts; noch; willst,gree_pozdrav_m_gru_dich_w_aXJ8; gree_pozdrav_z_gru_dich_w_Sxr5
2,2,14,13,likely_foreign_phrase,yes,Grüß dich! Wie kann ich dir helfen?,!P Grüß dich! Wie kann ich dir helfen? || Grüß dich! Wie kann ich dir helfen?,Grüß; dich; helfen; kann,gree_pozdrav_m_gru_dich_w_KvFt; gree_pozdrav_z_gru_dich_w_Qobd
2,2,14,14,likely_foreign_phrase,yes,"Ich hoffe, sie hängen dich nächstes Mal auf, du Mistkerl!","Ich hoffe, sie hängen dich das nächstemal, Bastard!",Mistkerl; dich; hoffe; hängen; nächstes,situ_situace_p_ich_hoffe__Ghog; situ_situace_p_ich_hoffe__K11w
2,2,14,14,likely_foreign_phrase,yes,Mein Gott …,!P Mein Gott... || Mein gott...,Gott; Mein,goss_gossip_na_mein_gott_wBag; prat_pratelsky_mein_gott_VcBF
2,2,14,14,likely_foreign_phrase,yes,Äh … Wasch dich! Du siehst schrecklich aus.,!P Eh... Wasch dich! Du siehst schrecklich aus.,Wasch; dich; schrecklich; siehst,gree_pozdrav_n_eh_wasch_d_89RQ; gree_pozdrav_z_eh_wasch_d_uq6G
1,1,14,14,likely_foreign_phrase,yes,"""...Insobald du mich besuchst vergangen seine Wanderslust sich nicht vom Flecke rühret.""",Sobald du mich besuchst vergangen seine Wanderslust sich nicht vom Flecke rühret,Flecke; Insobald; Wanderslust; besuchst; mich; nicht; rühret; seine; sich; vergangen,goss_gossip_na_mmmmmmmmmmm_Lw1W
1,1,14,14,likely_foreign_phrase,yes,"""...Könnt' ich jetzt schon eigentlich von deinem Bette freilich dich schützen vor Gespenstern.""",Könnt' ich jetzt schon eigentlich von deinem Bette freilich dich schützen vor Gespenstern,Bette; Gespenstern; Könnt; deinem; dich; eigentlich; freilich; jetzt; schon; schützen,goss_gossip_na_mmmmmm_agu7
1,1,14,14,likely_foreign_phrase,yes,Achtung! Ich kann nicht schießen!,!P Achtung! Ich kann nicht schießen!,Achtung; kann; nicht; schießen,neco_soldier_n_achtung_ic_vU03
1,1,14,14,likely_foreign_phrase,yes,And no hold back on decoration! Sword must shine like gold in sun. Mein Nachbar könnte vor Neid platzen!,!P And no hold back on decoration! Sword must shine like gold in sun. Mein Nachbar könnte vor Neid platzen!,Mein; Nachbar; Neid; könnte; platzen,slec_aktivita__a_nesetril_klG9
1,1,14,14,likely_foreign_phrase,yes,"Das ist nicht einfach, also... I have some Stoffe stolen. To have Geld to pay für Unterricht... lessons... bei Menhard.","That is not easy, so I stole some fabrics to get money to pay Menhard for lessons. Das ist nicht einfach, also... I have some Stoffe stolen. To have Geld to pay für Unterricht... lessons... bei Meinhard.",Geld; Menhard; Stoffe; Unterricht; also; einfach; nicht,arne_arne_nemec_to_nesnad_qY0U
1,1,14,14,likely_foreign_phrase,yes,"Du bist nicht der Erste, but I’ll tell you the same as the last one… Leck mich am Arsch!","Sie sind nicht der Erste, but I’ll tell you the same as the last one… Leck mich am Arsch damit!",Arsch; Erste; Leck; bist; mich; nicht,rozh_kupec_vel_tak_to_nej_47He
1,1,14,14,likely_foreign_phrase,yes,"Du hast den Kampf gegen die Nüchternheit wohl gewonnen, Freund!","!P Du hast das Match gewonnen mit Nüchternheit, mein Freund!",Freund; Kampf; Nüchternheit; gegen; gewonnen; hast; wohl,gree_pozdrav_n_du_hast_da_F1OR
1,1,14,14,likely_foreign_phrase,yes,"Eh, but Herr Otto spends more time in Prague than here, and Chamberlain Ulrich… Ach, lassen wir das.","!P Eh, but Herr Otto spends more time in Prague than here, and Chamberlain Ulrich… Das ist unnötig.",Herr; Otto; Ulrich; lassen,o_zi_kupec_tro_eh_jenze_v_p7M1
1,1,14,14,likely_foreign_phrase,yes,"Entschuldige, mein Freund… a master knows how to estimate his strength and condition.",A Master knows how to estimate his strength and condition and knows when to prepare for battle and when not.,Entschuldige; Freund; mein,spec_menhart_z_mistr_umi__gJGE
1,1,14,14,likely_foreign_phrase,yes,"Es ist vorbei, aber das ist nicht gut … Ich blute.","!P Es ist vorbei, aber das ist nicht gut... Ich blute.",aber; blute; nicht; vorbei,reak_soldier_k_es_ist_vor_L2xk
1,1,14,14,likely_foreign_phrase,yes,"Exakt! Ich auch nicht, also lange… Very long…","Exactly! Ich auch nicht, darum long…",Exakt; also; auch; lange; nicht,neme_udo_aus_t_no_prave_i_lB5y
1,1,14,14,likely_foreign_phrase,yes,"Ganz ruhig, mein Mädchen …","!P Beruhige dich Madchen, beruhige...",Ganz; Mädchen; mein; ruhig,hosp_hospodyne_beruhige_d_Wove
1,1,14,14,likely_foreign_phrase,yes,"Gott im Himmel! I have already told you… Aus Tuber, ah nein, Taube… Tauber… Bis… Hofissam.","Himmel, I told you already… Aus Tuber, ah nein, Taube… Tauber… Bis… Hofissam.",Gott; Himmel; Hofissam; Taube; Tauber; Tuber; nein,neme_udo_aus_t_himmel_sem_678G
1,1,14,14,likely_foreign_phrase,yes,Gott sei Dank! Hopefully nothing’s happened to him - or meinem Pferd!,Gott sei Dank! Hopefully nothing’s happened to him — or meinem Pferd!,Dank; Gott; Pferd; meinem,eldr_puskar_el_gott_sei_d_vLJo
1,1,14,14,likely_foreign_phrase,yes,"Gott sei mit dir, mein Herr.","!P Gott sei mit Euch, mein Herr.",Gott; Herr; mein,rozl_rozloucen_gott_sei_m_PXzA
1,1,14,14,likely_foreign_phrase,yes,"Gott, es wäre fast schiefgegangen.","!P Gott, es wäre fast schiefgegangen.",Gott; fast; schiefgegangen; wäre,reak_soldier_k_gott_es_wa_LDxy
1,1,14,14,mixed_or_ambiguous,yes,"Grüß Gott! Was brauchst du, Heinrich?","Grüß Gott! Was du brauchst, Heinrich?",Gott; Grüß; Heinrich; brauchst,gree_pozdrav_m_gru_gott_w_imjE
1,1,14,14,mixed_or_ambiguous,yes,"Grüß Gott! Was du brauchst, Heinrich?","!P Grüß Gott! Was du brauchst, Heinrich?",Gott; Grüß; Heinrich; brauchst,gree_pozdrav_z_gru_gott_w_3QeF
1,1,14,14,likely_foreign_phrase,yes,"Grüß Gott, Bruder Schmied!","Gruss Gott, Bruder Schmied!",Bruder; Gott; Grüß; Schmied,dlc2_pozdrav_c_gruss_gott_mHo6
1,1,14,14,mixed_or_ambiguous,yes,"Grüß Gott, Meister Heinrich!","Grüss Gott, Meister Heinrich!",Gott; Grüß; Heinrich; Meister,dlc2_pozdrav_m_gruss_gott_48YB
1,1,14,14,likely_foreign_phrase,yes,"Grüß Gott, gute Frau!","Gruss Gott, meine Herrin!",Frau; Gott; Grüß; gute,pozd_uctivy_po_gru_gott_m_ykpG
1,1,14,14,likely_foreign_phrase,yes,"Grüß Gott, meine Damen!","!P Grüss Gott, meine Damen!",Damen; Gott; Grüß; meine,pozd_pozdrav_n_gru_gott_m_9RUG
1,1,14,14,likely_foreign_phrase,yes,"Grüß Gott, meine Herrin!","!P Gruss Gott, meine Herrin!",Gott; Grüß; Herrin; meine,pozd_uctivy_po_gru_gott_m_f0Sp
1,1,14,14,likely_foreign_phrase,yes,Grüß dich … Aber du bist ja voller Blut!,Grüß dich... aber du bist voller Blut!,Aber; Blut; Grüß; bist; dich; voller,gree_pozdrav_m_gru_dich_a_qepG
1,1,14,14,likely_foreign_phrase,yes,Grüß dich … aber du bist ja voller Blut!,!P Grüß dich... aber du bist voller Blut!,Blut; Grüß; aber; bist; dich; voller,gree_pozdrav_z_gru_dich_a_pT7X
1,1,14,14,likely_foreign_phrase,yes,"Gut, gut, es ist nicht wichtig, doch wir saßen auf einem Stein, und schlugen ein Bein über das andre Bein …","Gut, gut, es ist nicht wichtig, doch Wir saß auf einem Felsenstein, und schlug ein Bein über das andre Bein...",Bein; Stein; andre; doch; einem; nicht; saßen; schlugen; wichtig; über,ulri_event_tab_gut_gut_es_bBId
1,1,14,14,likely_foreign_phrase,yes,"Guten Tag, Pilger! Geht hier nicht weiter, die Straßen sind schlecht und gefährlich.","Guten Tag, Pilger! Hör auf hier, die Straßen sind schlecht und gefährlich.",Geht; Guten; Pilger; Straßen; gefährlich; hier; nicht; schlecht; sind; weiter,chat_event_tab_guten_tag__qFbf
1,1,14,14,likely_foreign_phrase,yes,Herr Gott? Hmm… I see some German words have caught on in Italy.,!P Mein Gott? Hmm… I see some German words have caught on in Italy.,Gott; Herr,dial_musa_z_ma_hergot_hm__6K65
1,1,14,14,likely_foreign_phrase,yes,"I am Udo… from Taubisch… nein, Tauberhofs… heim… Scheisse! Aus TAUBER… BISCHOFS… HEIM!",I'm… Udo… from Tabehoeim… no. Taube… heim… no… Taubshohim… fuck… TAUBERBISCHOFSHEIM!,BISCHOFS; HEIM; Scheisse; TAUBER; Tauberhofs; Taubisch; heim; nein,neme_udo_aus_t_ja_sem__ud_b1PU
1,1,14,14,likely_foreign_phrase,yes,Ich hätte mein Fleisch gern durchgebraten!,Ich hätte mein Fleisch gern durch!,Fleisch; durchgebraten; gern; hätte; mein,zaka_zakaznik__ich_hatte__O5hP
1,1,14,14,likely_foreign_phrase,yes,"Ich weiß nicht, worum es geht, but I hear it has something to do with their traditional archery competition.","... Ich weiß nicht, was los ist, but I hear it has something to do with their traditional archery competition.",geht; nicht; weiß; worum,svat_quest_tip_nevim_o_co_4WOi
1,1,14,14,likely_foreign_phrase,yes,It is eine Schande when outlaws have better weapons than the city garrison! And Herr König surely knows this too!,"!P It is ein Schande, when outlaws have better weapons than the city garrison! And Herr König also knows of this too!",Herr; König; Schande; eine,pusk_puskar_el_je_to_ostu_tmGi
1,1,14,14,mixed_or_ambiguous,yes,"Ja, das kann man wohl sagen. Herr von Bergow should do something about it at last…","!P Ja, das ist ein schwieriger Fall. Herr von Bergow should finally do something about it…",Bergow; Herr; kann; sagen; wohl,o_zi_kupec_tro_ja_das_ist_DjPk
1,1,14,14,likely_foreign_phrase,yes,"Ja, ja, das ist eine schwere Zeit. Zoll, Gebühren, Schmiergelder, dieses Land ist beschissen, aber das kann man nicht verstehen.","Ja, ja, das ist eine schwere Zeit. Pflichten, Gebühren, Schmiergelder, dieses Land ist beschissen, aber das kann man nicht verstehen.",Gebühren; Land; Schmiergelder; Zeit; Zoll; aber; beschissen; dieses; eine; kann; nicht; schwere; verstehen,lore_event_tab_ja_ja_das__EplN
1,1,14,14,likely_foreign_phrase,yes,"Komm schon, du kannst es nicht ändern.","!P Komm schon, du kannst es nicht ändern.",Komm; kannst; nicht; schon; ändern,prat_pratelsky_komm_schon_f5a1
1,1,14,14,likely_foreign_phrase,yes,Mein Gott…,Mein Gott...,Gott; Mein,kost_kostky_pa_mein_gott_y4Ci
1,1,14,14,likely_foreign_phrase,yes,"Meine Truppe ist nicht groß, but for your purposes I think it will suffice.","!P Meine Gesellschaft ist nicht groß, but for your purposes I think it will suffice.",Meine; Truppe; groß; nicht,o_zi_urso_von__moje_kumpa_1PtK
