family_id,member_count,localization_keys,English_display,English_references,detected_languages,classifications,review_buckets,priorities,review_decision,verified_source_language,verified_foreign_span,verified_meaning,translation_notes
family_d18a61c127f3,2,gree_pozdrav_m_mein_gott__PpjJ; gree_pozdrav_z_mein_gott__QmXQ,Mein Gott! Hier ist ein nackter Narr.,Mein Gott! Hier ist ein nackter Narr. || !PMein Gott! Hier ist ein nackter Narr.,german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_23e64acb48d2,2,kost_kostky_he_das_nenne__P9e5; kost_kostky_he_dein_pech__HF0q,"Schlecht für dich, gut für mich, mein Freund.","Das nenne ich Pech! || Dein Pech, mein Glück, mein Freund.",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_c53f72a6110f,2,pozd_pozdrav_n_schon_dich_51zb; pozd_pozdrav_n_schon_dich_jmpr,"Schön dich zu sehen, mein Freund!","Schön dich zu sehen, mein Freund!",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_33336d66f39d,1,gree_pozdrav_z_gru_dich_w_scax,"!P Grüß dich! Wie kann ich dir helfen, mein Herr?","!P Grüß dich! Wie kann ich dir helfen, mein Herr?",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_973af0f00613,1,gree_pozdrav_n_gruss_gott_elp7,"!P Grüss Gott, Mann!","!P Grüss Gott, Mann!",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_d9bd515d6210,1,gree_pozdrav_n_mein_gott__dEt3,!P Mein Gott! Hier ist ein nackter Narr!,!P Mein Gott! Hier ist ein nackter Narr!,german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_81db04816975,1,gree_pozdrav_z_servus_und_guyD,!P Servus... und ich fühle dich auch!,!P Servus... und ich fühle dich auch!,german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_e8efea414926,1,tara_taras_mura_ab_insidi_qjH6,"Ab insidiis diaboli, libera nos, Domine. Benedictus Deus. Gloria patri.","Ab insidiis diaboli, libera nos, Domine. Benedictus deus. Gloria patri.",latin,likely_full_foreign,full_foreign_translation,highest,,,,,
family_ea36146ebc1e,1,situ_situace_m_ich_habe_n_72P7,Aber ich habe doch nichts getan!,Ich habe nichts getan!,german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_9bf2dbce6903,1,comb_mikulas_p_ale_jo_pro_CnAL,"Aber ja, warum nicht?","!P Aber ja, warum nicht?",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_1f605dd45bb9,1,hosp_hospodsky_eh_scheiss_4HCN,"Ah, Scheiße! Ist das kalt!","Eh, Scheisse, des ist Kalt!",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_86cdeacd7ae8,1,tara_taras_mura_benedictu_nlNF,Benedictus deus. Gloria patri.,!P Benedictus deus. Gloria patri.,latin,likely_full_foreign,full_foreign_translation,highest,,,,,
family_e1195bcc4912,1,vyhe_dlc2_stre_bis_bald_m_JCkF,"Bis bald, mein Freund! Gott segne dich.","Bis bald, mein Freund! Gott segne dich.",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_c91469e6e3a5,1,opon_oponent_s_das_hilft__GycN,Das hilft dir nicht weiter!,!P Das hilft dir nicht weiter!,german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_fbd23bb9a249,1,vyzv_arne_nemec_das_ist_n_KByO,"Das ist nicht gut, Menhard. Es ist ungerecht!","Das ist nicht gut, Menhard. Es ist ungerecht!",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_0a589bcec853,1,kost_kostky_pr_das_ist_ni_1mdO,Das ist nicht möglich! Das ist einfach nicht möglich ...,Das ist nicht möglich! Das ist einfach nicht möglich...,german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_90c14d9e8e4d,1,comb_hans_plum_das_ist_ni_fmpS,Das ist nicht schwierig.,!P Das ist nicht schwierig.,german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_17d2cce5fa19,1,hosp_hospodyne_so_so_gutes_XrTs,Du machst das gut meine Liebe.,"!P So, so... gutes.",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_c6ba0b5572f3,1,muz__hospodsky_es_ist_ein_OyyC,"Es ist eine Ehre, mein Herr.","!P Es ist eine Ehre, mein Herr.",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_7414eaef4731,1,reak_soldier_k_es_ist_vor_L2xk,"Es ist vorbei, aber das ist nicht gut … Ich blute.","!P Es ist vorbei, aber das ist nicht gut... Ich blute.",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_0d5ddbb62c5a,1,laze_lazebnice_das_ist_al_Z4d0,"Fertig! Das ist alles, mein Freund.","Geschehen! Das ist alles, mein Freund.",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_802b5845510c,1,ulri_event_tab_gott_zum_g_D7ro,"Gott zum Gruße, mein Freund! Ulrich von Remold, ein Dichter und ein Pilger im Land der Narren.","Gott zum Gruße, mein Freund! Ulrich von Remold, ein dichter und ein Pilger im Land der Narren.",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_326cba32d09e,1,gree_pozdrav_m_gru_dich_w_E1vx,"Grüß dich! Wie kann ich dir helfen, mein Herr?","Grüß dich! Wie kann ich dir helfen, mein Herr?",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_0a8fda0b58c5,1,pozd_pozdrav_n_gru_gott_m_9RUG,"Grüß Gott, meine Damen!","!P Grüss Gott, meine Damen!",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_b0136604542e,1,pozd_uctivy_po_gru_gott_m_f0Sp,"Grüß Gott, meine Herrin!","!P Gruss Gott, meine Herrin!",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_7e69d3ce421e,1,samo_samomluva_gut_das_is_mUWY,Gut ... Das ist gut.,!P Gut... das ist gut.,german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_5e6533874058,1,ulri_event_tab_gut_gut_es_bBId,"Gut, gut, es ist nicht wichtig, doch wir saßen auf einem Stein, und schlugen ein Bein über das andre Bein …","Gut, gut, es ist nicht wichtig, doch Wir saß auf einem Felsenstein, und schlug ein Bein über das andre Bein...",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_1840e59554d9,1,rozh_kupec_vel_jo_proc_ne_ninO,"Gut, warum nicht?","Gut, warum nicht?",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_cfa978999bf3,1,ulri_event_tab_ja_ja_gute_aVZi,"Gute Reise und auf Wiedersehen, mein Freund.","Gute Fahrt und auf Wiedersehen, mein Freund.",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_aeb96535d299,1,spec_oswald_to_hm_was_fur_JEMX,"Hm, das ist ja eine Überraschung.","!P Hm, was für eine Überraschung?",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_dbae9ad4fffc,1,laze_lazebnice_hm_es_ist__2Q0t,"Hm, nicht schlecht ... nicht schlecht, mein Freund.","Hm, es ist nicht schlecht... nicht schlecht, mein Freund.",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_82b56c7b720f,1,nech_npc_vyrus_hmm_das_is_0V5H,"Hmm, das ist meine ...","!P Hmm, das ist meine...",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_ee1a2cfb8a77,1,laze_lazebnice_ich_finde__vKry,"Ich hoffe, es gefiel dir, mein Herr.","Ich finde es gut, mein Herr.",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_f8632d0e63e0,1,goss_situace_z_ich_verste_2R3U,"Ich verstehe kein Wort, aber das macht nichts!","Ich verstehe Sie nicht, aber das macht nichts!",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_9e9dbed52e6b,1,o_zi_otte_koch_das_ist_do_hNLD,Ist das nicht offensichtlich?,"!P Das ist doch klar, oder?",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_44af2ce8dd31,1,posl_event_hla_ja_das_ist_XL3j,"Ja, das ist richtig! Jeder sollte das hören!","!P Ja, das ist richtig! Lass es einfach jeden hören!",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_5b3a7ac49dd8,1,assa_npc_vidi__hodnej_hod_rjV8,Jó fiú. jó fiú. Nem akarsz bántani.,Good boy! Good boy! You don't want to do that!,hungarian,likely_full_foreign,full_foreign_translation,highest,,,,,
family_5a6e6d4e5845,1,hosp_hospodyne_kommt_scho_hd3d,"Kommt, meine Damen. Kommt!","Kommt schon, Madels! Komm!",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_20dd03ac6d1b,1,gree_pozdrav_n_mein_gott__3XRV,Mein Gott! Hier ist ein nackter Narr!,!P Mein Gott! Hier ist ein nackter Narr!,german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_3c2c4b698872,1,gree_pozdrav_m_mein_gott__RrST,Mein Gott! Ist das Blut?,Mein Gott! Das ist Blut?,german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_f77cbcebaec5,1,gree_pozdrav_m_mein_gott__Fipv,Mein Gott! Warum läufst du hier mit nacktem Hintern herum?!,"Mein Gott! Was tust du, hier mit einem nackten Hintern herumzulaufen?!",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_69435f7a80b1,1,reme_remeslnik_ich_kann_d_WP7p,"Mein Gott, ich kann nicht mehr.","!P Mein Gott, ich kann nicht mehr.",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_5bdc77f736a5,1,kost_kostky_pr_mein_gott__9znY,"Mein Gott, warum?!","Mein Gott, warum?!",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_5b53e4589dd0,1,npc__npc_naslo_mein_gott__PPex,Mein Gott... Warum!?,!P Mein Gott... Warum!?,german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_37899f8d90b4,1,kost_kostky_he_oy_oy_vej_c99q,"Oy, oy vey...","Oy, oy vej...",yiddish_hebrew,likely_full_foreign,full_foreign_translation,highest,,,,,
family_988778f11c42,1,hosp_hospodsky_eh_scheiss_i3up,"Scheiße, ist das kalt!","!P Eh, Scheisse, des ist Kalt!",german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_02d776c3cc2f,1,gree_pozdrav_m_servus_und_YMs9,Servus... und ich fühle dich auch!,Servus... und ich fühle dich auch!,german,likely_full_foreign,full_foreign_translation,highest,,,,,
family_82934b0f45d9,1,rozl_louceni_p_warum_halt_S3rF,"Warum hältst du mich auf, wenn du nichts brauchst?","!P Warum hältst du mich auf, wenn du nichts brauchst?",german,likely_full_foreign,full_foreign_translation,highest,,,,,
