localization_key,score,reasons,English_reference,English_display,preserved_tokens,preserved_in_locales
arne_arne_nemec_to_nesnad_qY0U,11,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: nicht, einfach, also, Stoffe, Geld, Unterricht, Menhard | preserved token(s) also present in English reference","That is not easy, so I stole some fabrics to get money to pay Menhard for lessons. Das ist nicht einfach, also... I have some Stoffe stolen. To have Geld to pay für Unterricht... lessons... bei Meinhard.","Das ist nicht einfach, also... I have some Stoffe stolen. To have Geld to pay für Unterricht... lessons... bei Menhard.",nicht; einfach; also; Stoffe; Geld; Unterricht; Menhard,Chineses; Chineset; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
arne_menhart_z_vielleicht_JsnC,9,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Vielleicht, Arne | preserved token(s) also present in English reference",Vielleicht Arne…,Vielleicht nur Arne…,Vielleicht; Arne,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
assa_npc_bylo__hilfe_pomo_n7NA,10,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Hilfe, tollwütiger, Hund | preserved token(s) also present in English reference",!P Hilfe! Help! Ein tollwütiger Hund!,Hilfe! Help! Ein tollwütiger Hund!,Hilfe; tollwütiger; Hund,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian
assa_npc_vidi__a_kurva_co_sYpT,10,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Kurva, életbe, kibaszott, kutya",Shit! A fucking dog!,Kurva életbe! Egy kibaszott kutya!,Kurva; életbe; kibaszott; kutya,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
assa_npc_vidi__mordyr_pan_8gAO,9,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Murdaroshis, Devla | preserved token(s) also present in English reference",!T Murdaroshis! Oy Devla…,Murdaroshis! Oy Devla…,Murdaroshis; Devla,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
bals_henry_jmenuju_se_jin_FTmA,11,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Henry, Radzig, Kobyla, Skalitz | preserved token(s) also present in English reference",My name is Henry. And you could say I'm in the service of Sir Radzig Kobyla.,My name is Henry. And you could say I'm in the service of Sir Radzig Kobyla… of Skalitz.,Henry; Radzig; Kobyla; Skalitz,French; German; Italian; Portuguese; Spanish; Turkish; Vietnamese
bals_jan_balsa_vyborne_vy_TWlc,9,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Henry, Skalitz | preserved token(s) also present in English reference","Great. I see ou're kitted out pretty good alright. You ever been in battle with that lord of yours, Henry of Skalitz?","Great. I see you're kitted out pretty well alright. Have you ever been in battle with that lord of yours, Henry… of Skalitz?",Henry; Skalitz,French; German; Italian; Portuguese; Spanish; Turkish; Vietnamese
band_bandita_v_alarm_lass_P2zV,10,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Alarm, Lasst, kämpfen | preserved token(s) also present in English reference",!P Alarm! Lasst uns kämpfen!,Alarm! Lasst uns kämpfen!,Alarm; Lasst; kämpfen,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
bark_kuman_na__aby_vas_er_mOFS,11,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Erlik, majd, seggbe, benneteket | preserved token(s) also present in English reference",Erlik majd jól seggbe basz!,Erlik majd jól seggbe benneteket!,Erlik; majd; seggbe; benneteket,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
bark_kuman_na__eja_na_nee_FJv1,9,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Hurrá, rohaaam, Juhééé | preserved token(s) also present in English reference","Hurrá, rohaaam! Juhééé!","Hurrá, rohaaam! Juhééé!",Hurrá; rohaaam; Juhééé,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
bark_kuman_na__jakej_sejt_YoSQ,10,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Milyen, ördög, szart, benneteket, kutyazabálók | preserved token(s) also present in English reference","Milyen ördög szart benneteket, kutyazabálók?","Milyen ördög szart benneteket, kutyazabálók?",Milyen; ördög; szart; benneteket; kutyazabálók,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
bark_kuman_na__pri_vsech__zm3D,9,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: összes, démonokra, dögölj | preserved token(s) also present in English reference","Az összes démonokra, dögölj meg!","Az összes démonokra, dögölj meg!",összes; démonokra; dögölj,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
bark_kuman_na__ted_dostan_onZA,9,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Túró, pofádba, rohadék | preserved token(s) also present in English reference","Túró a pofádba, te rohadék!","Túró a pofádba, te rohadék!",Túró; pofádba; rohadék,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
bark_kuman_na__vytru_si_s_oehC,9,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Kitörlöm, veled, seggem | preserved token(s) also present in English reference",Kitörlöm veled a seggem!,Kitörlöm veled a seggem!,Kitörlöm; veled; seggem,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
bark_kuman_si__tak_na_toh_anL8,9,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Ezer, ördög, pokol",A fenébe is!,Ezer ördög és pokol!,Ezer; ördög; pokol,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
bark_kuman_u_s_nem_fognak_6xRc,11,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Soha, többé, fognak, látni, engem | preserved token(s) also present in English reference",Nem fognak itt látni engem!,Soha többé nem fognak itt látni engem.,Soha; többé; fognak; látni; engem,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
bark_kuman_u_s_vagy_nem_f_JEGp,11,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Vagy, fogom, vissza, magam, rossz, lesz | preserved token(s) also present in English reference","Vagy nem fogom vissza, és rossz lesz!","Vagy nem fogom vissza magam, és az rossz lesz!",Vagy; fogom; vissza; magam; rossz; lesz,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
bark_pacholek__zasranej_f_z16Z,9,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Franzi, Gules | preserved token(s) also present in English reference",Fucking Franzi… fucking Gules… fucking everything.,Fucking Franzi… fucking Gules… fucking everything!,Franzi; Gules,French; German; Italian; Portuguese; Spanish; Turkish; Vietnamese
baro_brabant_je_suis_deso_wU46,9,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: suis, désolé | preserved token(s) also present in English reference",!P Je suis désolée!,Je suis désolé !,suis; désolé,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
baro_brabant_och_cest_une_34zo,11,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: c'est, histoire, compliquée, Kuttenberg | preserved token(s) also present in English reference","!P Och, c'est une histoire troublée. It was after I heroically led the defence of Kuttenberg…","Oh, c'est une histoire compliquée. It was after I heroically led the defence of Kuttenberg…",c'est; histoire; compliquée; Kuttenberg,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
baro_brabant_zvlastni_kra_MxQp,9,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Sainte, mère | preserved token(s) also present in English reference","!P This Bohemia is a strange land. I have see farmhands, children and even women fighting! But the clergy? Sainte mère…!","This Bohemia is a strange land. I have see farmhands, children and even women fighting! But the clergy? Sainte mère… !",Sainte; mère,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
berg_bergov_rikej_mu_jak__XlZf,9,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Satan, Lucifer, Beelzebub | preserved token(s) also present in English reference","Call him whatever you want – Satan, Lucifer, Beelzebub…","Call him whatever you want – Satan, Lucifer, Beelzebub…",Satan; Lucifer; Beelzebub,Czech; French; German; Spanish; Turkish; Vietnamese
berg_henry_podseminskej_m_y7Yq,9,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Kreyzl, Semine | preserved token(s) also present in English reference","Kreyzl, the Podsemin miller, is secretly making black powder… and is most likely up to other witchery as well.","Kreyzl, the Lower Semine miller, is secretly making black powder… and he's most likely up to other witchery as well.",Kreyzl; Semine,French; German; Italian; Portuguese; Spanish; Turkish; Vietnamese
berg_henry_rekl_pane_droz_zAwK,9,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Thrush, Kreyzl | preserved token(s) also present in English reference","Yes, sir. Thrush made some kind of deal with Kreyzl that… should benefit your coffers.","Yes, Sir. Thrush made some kind of deal with Kreyzl that… should benefit your coffers.",Thrush; Kreyzl,French; German; Italian; Portuguese; Spanish; Turkish; Vietnamese
bezn_npc_reagu_netter_kot_2xKD,11,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Braver, Köter, ganz, brav | preserved token(s) also present in English reference",Netter Köter... netter.,Braver Köter ... ganz brav.,Braver; Köter; ganz; brav,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian
bezn_npc_reagu_oh_du_ein__lrMg,9,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: hungriges, Biest | preserved token(s) also present in English reference","Oh, du ein hungriges Biest...","Oh, du hungriges Biest …",hungriges; Biest,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
bff__brabant_z_nejaka_fra_yIFb,11,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Quel, putain, trou, Comment, sommes-nous, arrivés, avec, telle | preserved token(s) also present in English reference","!P Quel putain de trou! Comment en sommes-nous arrivés là, et avec une telle bande de crétins? Que Dieu me protège!","Quel putain de trou! Comment en sommes-nous arrivés là, et avec une telle bande de crétins? Que Dieu me protège!",Quel; putain; trou; Comment; sommes-nous; arrivés; avec; telle; bande; crétins; Dieu; protège,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
bff__brabant_z_oh_dobrym__TWno,9,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Ohoho, Tchèques | preserved token(s) also present in English reference","Oh! Good manners are something vous, les Tchèques, have yet to learn!","Ohoho! Good manners are something that you, les Tchèques, have yet to learn!",Ohoho; Tchèques,Chineses; Chineset; Czech; French; German; Italian; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
bff__brabant_z_pravda_sla_1KXA,11,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: douce, France, temps, seul, dira | preserved token(s) also present in English reference",!P Indeed. La douce France is my true home. I hope I did not make a mistake in abandoning her… Les temps dira.,Indeed. La douce France is my true home. I hope I did not make a mistake in abandoning her… Le temps seul le dira.,douce; France; temps; seul; dira,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
bff__brabant_z_s_takovu_s_XaXO,9,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: comme, l'ai | preserved token(s) also present in English reference","That way you will soon earn yourself a knighthood, comme je l'ai fait.","That way you will soon earn yourself a knighthood, comme je l'ai été.",comme; l'ai,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
bff__brabant_z_vysoka_cha_qVfK,9,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: élégant, Monsieur | preserved token(s) also present in English reference","Greetings, Elégant Monsieur!","Greetings, élégant Monsieur!",élégant; Monsieur,Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Ukrainian; Vietnamese
bff__brabant_z_za_temnoty_ABDL,9,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: suppôts, diable | preserved token(s) also present in English reference","The darkness helps aides du diable, so be careful you don't run into them.","It is in the darkness of night that les suppôts du diable venture out. Be wary, lest you meet them.",suppôts; diable,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
bff__hans_uher_fuj_do_pic_E5ON,9,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: piče, Henry | preserved token(s) also present in English reference","Yuck… Fucking hell, Henry. You smell like a pile of dung.","Fuj…! Do piče, Henry! You smell like dungheap!",piče; Henry,Czech; French; German; Italian; Polish; Portuguese; Russian; Spanish; Turkish; Vietnamese
bibr_handlir_m_tenhle_olt_C9s5,9,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: altar, Zamur, Lovari | preserved token(s) also present in English reference","“This altar belongs to Zamur, the greatest racing rider of all Lovari! In this region it shall forever recall his glory…”","“This altar belongs to Zamur, the greatest racing rider of all Lovari! In this region it shall forever recall his glory…”",altar; Zamur; Lovari,French; German; Italian; Portuguese; Spanish; Turkish; Vietnamese
bibr_kuman_bib__nadherneh_Aytv,9,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Dicsérjük, csodás, paripákat",Revere this magnificent stallion!,Dicsérjük a csodás paripákat!,Dicsérjük; csodás; paripákat,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
bibr_kuman_bib_at_se_jeho_k5w2,9,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Vágjon, gyorsan, esze",Let its mind be sharp!,Vágjon gyorsan az esze!,Vágjon; gyorsan; esze,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
bibr_kuman_bib_at_se_jeho_sgEu,9,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Legyen, gyors, csikója",Let its foal be swift!,Legyen gyors a csikója!,Legyen; gyors; csikója,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
bibr_kuman_bib_cech_je_st_maDI,10,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: lövészet, igazi, művészet, szóért","Nonsense. I say nonsense. Archery is the true art, there is nothing more to say.","Nonsense. I say nonsense. A lövészet az igazi művészet, kár is a szóért.",lövészet; igazi; művészet; szóért,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian
bibr_kuman_bib_dav_at_hle_5u3v,10,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Ámuljon, tömeg, bökjön, felfelé, hüvelykujjával",Let the crowd watch in awe and raise their thumbs in astonishment!,"Ámuljon a tömeg, és bökjön felfelé hüvelykujjával!",Ámuljon; tömeg; bökjön; felfelé; hüvelykujjával,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
bibr_kuman_bib_necht_je_t_N2AI,9,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: altar, Karachin | preserved token(s) also present in English reference","“May this altar belonging to Karachin, the greatest archer of the Jáz, in this land be an everlasting reminder of his glory on earth and in the power of God.”","“May this altar belonging to Karachin, the greatest archer of the Iasian tribe, be in this land an everlasting reminder of his glory on earth and in the power of God.”",altar; Karachin,French; German; Italian; Portuguese; Spanish; Turkish; Vietnamese
bibr_kuman_bib_nejvybrane_YMnt,9,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Áldozzunk, legkiválóbb, tejjel",Let us offer the finest milk!,Áldozzunk a legkiválóbb tejjel!,Áldozzunk; legkiválóbb; tejjel,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
bibr_kuman_bib_neunavne_j_iAvo,9,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Fáradhatatlanul, mint, árja",Tireless as a rushing stream!,"Fáradhatatlanul, mint a víz árja!",Fáradhatatlanul; mint; árja,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
bibr_kuman_bib_no_jasne_BSk7,9,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: szép, Milyen, útvonalon",Indeed. Which track?,Még szép! Milyen útvonalon?,szép; Milyen; útvonalon,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
bibr_kuman_bib_no_jo_h65A,9,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: altar, Karachin | preserved token(s) also present in English reference","Yes, yes… But that altar should still have gone to Karachin. Blasted business.","Yes, yes… But that altar should still have gone to Karachin. Damn it all!",altar; Karachin,French; German; Italian; Portuguese; Spanish; Turkish; Vietnamese
bibr_kuman_bib_pockej_hle_AS0H,9,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: altar, Karachin | preserved token(s) also present in English reference",One thing at a time… there is an altar in the woods over there that I built for the great Kangly marksman Karachin.,One thing at a time… there is an altar in the woods over there that I built to the great Iasian marksman Karachin.,altar; Karachin,French; German; Italian; Portuguese; Spanish; Turkish; Vietnamese
bibr_kuman_bib_rychle_jak_hPWm,11,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Gyorsan, mint, Tengri, kilőtt, nyila | preserved token(s) also present in English reference",Swift as an arrow fired by Tengri!,"Gyorsan, mint Tengri kilőtt nyila!",Gyorsan; mint; Tengri; kilőtt; nyila,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
bibr_kuman_bib_upadli_jst_Ht1T,10,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Baromság, oltár, Krachiné, pofa",Nonsense. The altar is Karachin’s and that is the end of it.,"Baromság! Az oltár Krachiné, és pofa be!",Baromság; oltár; Krachiné; pofa,Chineses; Chineset; French; German; Italian; Japanese; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
bibr_kuman_bib_vali_se_vp_JUHl,9,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Előrezúdul, mint, folyó",He surges forward like a river!,"Előrezúdul, mint a folyó!",Előrezúdul; mint; folyó,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
bibr_kuman_bib_vyrostl_z__QBLz,9,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: ősök, gyökeréből, ered",He has grown from ancestral roots!,Az ősök gyökeréből ered!,ősök; gyökeréből; ered,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
blac_cechmistr_to_se_teda_5bwa,10,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: überhaupt, nicht, geklappt | preserved token(s) also present in English reference",!P Das hat überhaupt nicht geklappt!,Das hat überhaupt nicht geklappt!,überhaupt; nicht; geklappt,Chineses; Chineset; French; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian
bohu_bohuta_hic_et_nunc_p_wv7C,9,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: nunc, bastard | preserved token(s) also present in English reference",!P Hīc et nunc... bastard!,Hīc et nunc... bastard!,nunc; bastard,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
bohu_bohuta_npc_a_hanus_s_KVAR,9,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Hanush, Radzig | preserved token(s) also present in English reference",Now Lord Hanush and Radzig will know how things really stand…,Now Hanush and Radzig will know how things really stand…,Hanush; Radzig,French; German; Italian; Portuguese; Spanish; Turkish; Vietnamese
bohu_bohuta_npc_exaudi_or_Y0vy,10,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Exaudi, orationem, meam | preserved token(s) also present in English reference",!P Exaudi orationem meam,Exaudi orationem meam…,Exaudi; orationem; meam,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
bohu_bohuta_npc_hm__ja_zi_ZKPO,9,"non-ASCII character(s) in English display | English reference/display differ | token(s) preserved across 3+ localized displays: Sigismund, Henry | preserved token(s) also present in English reference","Hm… I, Sigismund of Luxembourg… This is it, I have it, Henry! We can finally get the fuck out of here!","Hm… I, Sigismund of Luxembourg… hmhmhm… This is it, I have it, Henry! We can finally get the fuck out of here!",Sigismund; Henry,French; German; Italian; Portuguese; Spanish; Turkish; Vietnamese
bohu_bohuta_npc_pax_bonum_9h8m,10,"non-ASCII character(s) in English display | token(s) preserved across 3+ localized displays: Requiem, æternam, dona, Domine | preserved token(s) also present in English reference","Requiem æternam dona ei, Domine...","Requiem æternam dona ei, Domine...",Requiem; æternam; dona; Domine,Chineses; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese
