localization_key,English_reference,Chineses_display,Chineset_display,Czech_display,English_display,French_display,German_display,Italian_display,Japanese_display,Korean_display,Polish_display,Portuguese_display,Russian_display,Spanish_display,Turkish_display,Ukrainian_display,Vietnamese_display
gree_pozdrav_n_ein_bad_wu_V2Oj,!P Ein Bad würde dir nicht schaden!,!P Ein Bad würde dir nicht schaden!,!P Ein Bad würde dir nicht schaden!,Ein Bad würde dir nicht schaden!,!P Ein Bad würde dir nicht schaden!,!P Ein Bad würde dir nicht schaden!,!P Ein Bad würde dir nicht schaden!,!P Ein Bad würde dir nicht schaden!,!P Ein Bad würde dir nicht schaden!,!P Ein Bad würde dir nicht schaden!,!P Ein Bad würde dir nicht schaden!,!P Ein Bad würde dir nicht schaden!,!P Ein Bad würde dir nicht schaden!,!P Ein Bad würde dir nicht schaden!,!P Ein Bad würde dir nicht schaden!,!P Ein Bad würde dir nicht schaden!,!P Ein Bad würde dir nicht schaden!
gree_pozdrav_n_es_ist_nac_uY0B,"!P Es ist Nacht, Mann!","!P Es ist Nacht, Mann!","!P Es ist Nacht, Mann!","Es ist Nacht, Mann!","!P Es ist Nacht, Mann!","!P Es ist Nacht, Mann!","!P Es ist Nacht, Mann!","!P Es ist Nacht, Mann!","!P Es ist Nacht, Mann!","!P Es ist Nacht, Mann!","!P Es ist Nacht, Mann!","!P Es ist Nacht, Mann!","!P Es ist Nacht, Mann!","!P Es ist Nacht, Mann!","!P Es ist Nacht, Mann!","!P Es ist Nacht, Mann!","!P Es ist Nacht, Mann!"
gree_pozdrav_z_gepriesen__YxW0,!P Gepriesen sei der Herr!,!P Gepriesen sei der Herr!,!P Gepriesen sei der Herr!,Gepriesen sei der Herr!,!P Gepriesen sei der Herr!,!P Gepriesen sei der Herr!,!P Gepriesen sei der Herr!,!P Gepriesen sei der Herr!,!P Gepriesen sei der Herr!,!P Gepriesen sei der Herr!,!P Gepriesen sei der Herr!,!P Gepriesen sei der Herr!,!P Gepriesen sei der Herr!,!P Gepriesen sei der Herr!,!P Gepriesen sei der Herr!,!P Gepriesen sei der Herr!,!P Gepriesen sei der Herr!
gree_pozdrav_z_gepriesen__YZwt,"!P Gepriesen sei der Herr, Heinrich!","!P Gepriesen sei der Herr, Heinrich!","!P Gepriesen sei der Herr, Heinrich!","Gepriesen sei der Herr, Heinrich!","!P Gepriesen sei der Herr, Heinrich!","!P Gepriesen sei der Herr, Heinrich!","!P Gepriesen sei der Herr, Heinrich!","!P Gepriesen sei der Herr, Heinrich!","!P Gepriesen sei der Herr, Heinrich!","!P Gepriesen sei der Herr, Heinrich!","!P Gepriesen sei der Herr, Heinrich!","!P Gepriesen sei der Herr, Heinrich!","!P Gepriesen sei der Herr, Heinrich!","!P Gepriesen sei der Herr, Heinrich!","!P Gepriesen sei der Herr, Heinrich!","!P Gepriesen sei der Herr, Heinrich!","!P Gepriesen sei der Herr, Heinrich!"
pozd_sousedsky_gru_dich_dd2S,!P Grüß dich!,!P Grüß dich!,!P Grüß dich!,Grüsse dich!,!P Grüß dich!,Grüss dich !,/Grüss dich!\,Grüss dich!,Grüss dich!,!P Grüß dich!,Grüss dich!,!P Grüß dich!,!P Grüß dich!,¡Grüss dich!,Grüss dich!,!P Grüß dich!,!P Grüß dich!
gree_pozdrav_z_gru_dich_w_Yzz2,!P Grüß dich! Was wünschst du?,!P Grüß dich! Was wünschst du?,!P Grüß dich! Was wünschst du?,Grüß dich! Was wünschst du?,!P Grüß dich! Was wünschst du?,!P Grüß dich! Was wünschst du?,!P Grüß dich! Was wünschst du?,!P Grüß dich! Was wünschst du?,!P Grüß dich! Was wünschst du?,!P Grüß dich! Was wünschst du?,!P Grüß dich! Was wünschst du?,!P Grüß dich! Was wünschst du?,!P Grüß dich! Was wünschst du?,!P Grüß dich! Was wünschst du?,!P Grüß dich! Was wünschst du?,!P Grüß dich! Was wünschst du?,!P Grüß dich! Was wünschst du?
gree_pozdrav_z_gru_dich_w_scax,"!P Grüß dich! Wie kann ich dir helfen, mein Herr?","!P Grüß dich! Wie kann ich dir helfen, mein Herr?","!P Grüß dich! Wie kann ich dir helfen, mein Herr?","Grüß dich! Wie kann ich dir helfen, mein Herr?","!P Grüß dich! Wie kann ich dir helfen, mein Herr?","!P Grüß dich! Wie kann ich dir helfen, mein Herr?","!P Grüß dich! Wie kann ich dir helfen, mein Herr?","!P Grüß dich! Wie kann ich dir helfen, mein Herr?","!P Grüß dich! Wie kann ich dir helfen, mein Herr?","!P Grüß dich! Wie kann ich dir helfen, mein Herr?","!P Grüß dich! Wie kann ich dir helfen, mein Herr?","!P Grüß dich! Wie kann ich dir helfen, mein Herr?","!P Grüß dich! Wie kann ich dir helfen, mein Herr?","!P Grüß dich! Wie kann ich dir helfen, mein Herr?","!P Grüß dich! Wie kann ich dir helfen, mein Herr?","!P Grüß dich! Wie kann ich dir helfen, mein Herr?","!P Grüß dich! Wie kann ich dir helfen, mein Herr?"
gree_pozdrav_n_gruss_gott_2tXt,!P Grüss Gott!,!P Grüss Gott!,!P Grüss Gott!,Grüss Gott!,!P Grüss Gott!,!P Grüss Gott!,!P Grüss Gott!,!P Grüss Gott!,!P Grüss Gott!,!P Grüss Gott!,!P Grüss Gott!,!P Grüss Gott!,!P Grüss Gott!,!P Grüss Gott!,!P Grüss Gott!,!P Grüss Gott!,!P Grüss Gott!
gree_pozdrav_z_gru_gott_w_JdBW,!P Grüß Gott! Was du brauchst?,!P Grüß Gott! Was du brauchst?,!P Grüß Gott! Was du brauchst?,Grüß Gott! Was du brauchst?,!P Grüß Gott! Was du brauchst?,!P Grüß Gott! Was du brauchst?,!P Grüß Gott! Was du brauchst?,!P Grüß Gott! Was du brauchst?,!P Grüß Gott! Was du brauchst?,!P Grüß Gott! Was du brauchst?,!P Grüß Gott! Was du brauchst?,!P Grüß Gott! Was du brauchst?,!P Grüß Gott! Was du brauchst?,!P Grüß Gott! Was du brauchst?,!P Grüß Gott! Was du brauchst?,!P Grüß Gott! Was du brauchst?,!P Grüß Gott! Was du brauchst?
gree_pozdrav_n_gruss_gott_elp7,"!P Grüss Gott, Mann!","!P Grüss Gott, Mann!","!P Grüss Gott, Mann!","Grüss Gott, Mann!","!P Grüss Gott, Mann!","!P Grüss Gott, Mann!","!P Grüss Gott, Mann!","!P Grüss Gott, Mann!","!P Grüss Gott, Mann!","!P Grüss Gott, Mann!","!P Grüss Gott, Mann!","!P Grüss Gott, Mann!","!P Grüss Gott, Mann!","!P Grüss Gott, Mann!","!P Grüss Gott, Mann!","!P Grüss Gott, Mann!","!P Grüss Gott, Mann!"
gree_pozdrav_z_gut_pracht_LYzL,"!P Gut, prächtig, mein Freund.","!P Gut, prächtig, mein Freund.","!P Gut, prächtig, mein Freund.","Gut, prächtig, mein Freund.","!P Gut, prächtig, mein Freund.","!P Gut, prächtig, mein Freund.","!P Gut, prächtig, mein Freund.","!P Gut, prächtig, mein Freund.","!P Gut, prächtig, mein Freund.","!P Gut, prächtig, mein Freund.","!P Gut, prächtig, mein Freund.","!P Gut, prächtig, mein Freund.","!P Gut, prächtig, mein Freund.","!P Gut, prächtig, mein Freund.","!P Gut, prächtig, mein Freund.","!P Gut, prächtig, mein Freund.","!P Gut, prächtig, mein Freund."
gree_pozdrav_z_guten_aben_gOTS,!P Guten Abend!,!P Guten Abend!,!P Guten Abend!,Guten Abend!,!P Guten Abend!,!P Guten Abend!,!P Guten Abend!,!P Guten Abend!,!P Guten Abend!,!P Guten Abend!,!P Guten Abend!,!P Guten Abend!,!P Guten Abend!,!P Guten Abend!,!P Guten Abend!,!P Guten Abend!,!P Guten Abend!
gree_pozdrav_z_guten_aben_QhN7,!P Guten Abend! Was du brauchst?,!P Guten Abend! Was du brauchst?,!P Guten Abend! Was du brauchst?,Guten Abend! Was du brauchst?,!P Guten Abend! Was du brauchst?,!P Guten Abend! Was du brauchst?,!P Guten Abend! Was du brauchst?,!P Guten Abend! Was du brauchst?,!P Guten Abend! Was du brauchst?,!P Guten Abend! Was du brauchst?,!P Guten Abend! Was du brauchst?,!P Guten Abend! Was du brauchst?,!P Guten Abend! Was du brauchst?,!P Guten Abend! Was du brauchst?,!P Guten Abend! Was du brauchst?,!P Guten Abend! Was du brauchst?,!P Guten Abend! Was du brauchst?
gree_pozdrav_n_guten_aben_W4VZ,"!P Guten Abend, Heinrich!","!P Guten Abend, Heinrich!","!P Guten Abend, Heinrich!","Guten Abend, Heinrich!","!P Guten Abend, Heinrich!","!P Guten Abend, Heinrich!","!P Guten Abend, Heinrich!","!P Guten Abend, Heinrich!","!P Guten Abend, Heinrich!","!P Guten Abend, Heinrich!","!P Guten Abend, Heinrich!","!P Guten Abend, Heinrich!","!P Guten Abend, Heinrich!","!P Guten Abend, Heinrich!","!P Guten Abend, Heinrich!","!P Guten Abend, Heinrich!","!P Guten Abend, Heinrich!"
gree_pozdrav_n_guten_aben_BVdj,"!P Guten Abend, mein Freund!","!P Guten Abend, mein Freund!","!P Guten Abend, mein Freund!","Guten Abend, mein Freund!","!P Guten Abend, mein Freund!","!P Guten Abend, mein Freund!","!P Guten Abend, mein Freund!","!P Guten Abend, mein Freund!","!P Guten Abend, mein Freund!","!P Guten Abend, mein Freund!","!P Guten Abend, mein Freund!","!P Guten Abend, mein Freund!","!P Guten Abend, mein Freund!","!P Guten Abend, mein Freund!","!P Guten Abend, mein Freund!","!P Guten Abend, mein Freund!","!P Guten Abend, mein Freund!"
gree_pozdrav_z_guten_morg_UKHq,"!P Guten Morgen, Heinrich!","!P Guten Morgen, Heinrich!","!P Guten Morgen, Heinrich!","Guten Morgen, Heinrich!","!P Guten Morgen, Heinrich!","!P Guten Morgen, Heinrich!","!P Guten Morgen, Heinrich!","!P Guten Morgen, Heinrich!","!P Guten Morgen, Heinrich!","!P Guten Morgen, Heinrich!","!P Guten Morgen, Heinrich!","!P Guten Morgen, Heinrich!","!P Guten Morgen, Heinrich!","!P Guten Morgen, Heinrich!","!P Guten Morgen, Heinrich!","!P Guten Morgen, Heinrich!","!P Guten Morgen, Heinrich!"
gree_pozdrav_n_guten_morg_D5K5,"!P Guten Morgen, Mann!","!P Guten Morgen, Mann!","!P Guten Morgen, Mann!","Guten Morgen, Mann!","!P Guten Morgen, Mann!","!P Guten Morgen, Mann!","!P Guten Morgen, Mann!","!P Guten Morgen, Mann!","!P Guten Morgen, Mann!","!P Guten Morgen, Mann!","!P Guten Morgen, Mann!","!P Guten Morgen, Mann!","!P Guten Morgen, Mann!","!P Guten Morgen, Mann!","!P Guten Morgen, Mann!","!P Guten Morgen, Mann!","!P Guten Morgen, Mann!"
gree_pozdrav_n_guten_tag__Fg10,!P Guten Tag!,!P Guten Tag!,!P Guten Tag!,Guten Tag!,!P Guten Tag!,!P Guten Tag!,!P Guten Tag!,!P Guten Tag!,!P Guten Tag!,!P Guten Tag!,!P Guten Tag!,!P Guten Tag!,!P Guten Tag!,!P Guten Tag!,!P Guten Tag!,!P Guten Tag!,!P Guten Tag!
gree_pozdrav_n_guten_tag__rKvx,!P Guten Tag! Was brauchst du von mir?,!P Guten Tag! Was brauchst du von mir?,!P Guten Tag! Was brauchst du von mir?,Guten Tag! Was brauchst du von mir?,!P Guten Tag! Was brauchst du von mir?,!P Guten Tag! Was brauchst du von mir?,!P Guten Tag! Was brauchst du von mir?,!P Guten Tag! Was brauchst du von mir?,!P Guten Tag! Was brauchst du von mir?,!P Guten Tag! Was brauchst du von mir?,!P Guten Tag! Was brauchst du von mir?,!P Guten Tag! Was brauchst du von mir?,!P Guten Tag! Was brauchst du von mir?,!P Guten Tag! Was brauchst du von mir?,!P Guten Tag! Was brauchst du von mir?,!P Guten Tag! Was brauchst du von mir?,!P Guten Tag! Was brauchst du von mir?
npc__npc_pobiz_gyerunk_gy_rAj5,Gyerünk! Gyerünk!,Gyerünk! Gyerünk!,Gyerünk! Gyerünk!（衝啊！衝啊！）,Gyerünk! Gyerünk!,!P Gyerünk! Gyerünk!,!P Gyerünk! Gyerünk!,x,!P Gyerünk! Gyerünk!,!P Gyerünk! Gyerünk!,Gyerünk! Gyerünk!,Gyerünk! Gyerünk!,!P Gyerünk! Gyerünk!,!P Gyerünk! Gyerünk!,!P Gyerünk! Gyerünk!,!P Gyerünk! Gyerünk!,!P Gyerünk! Gyerünk!,!P Gyerünk! Gyerünk!
gree_pozdrav_n_heh_warum__F1g2,"!P Heh... Warum bist du nackt, Mann?","!P Heh... Warum bist du nackt, Mann?","!P Heh... Warum bist du nackt, Mann?","Heh... Warum bist du nackt, Mann?","!P Heh... Warum bist du nackt, Mann?","!P Heh... Warum bist du nackt, Mann?","!P Heh... Warum bist du nackt, Mann?","!P Heh... Warum bist du nackt, Mann?","!P Heh... Warum bist du nackt, Mann?","!P Heh... Warum bist du nackt, Mann?","!P Heh... Warum bist du nackt, Mann?","!P Heh... Warum bist du nackt, Mann?","!P Heh... Warum bist du nackt, Mann?","!P Heh... Warum bist du nackt, Mann?","!P Heh... Warum bist du nackt, Mann?","!P Heh... Warum bist du nackt, Mann?","!P Heh... Warum bist du nackt, Mann?"
hosp_hospodsky_hm_davar_m_2e0R,"Hm, davar masa u-matan tov.","!P Hm, davar masa u-matan tov.","Hm, davar masa u-matan tov.（嗯，真是樁好交易。）","Hm, davar masa u-matan tov.","!P Hm, davar masa u-matan tov.","!P Hm, davar masa u-matan tov.","/Hm, davar masa u-matan tov.\","!P Hm, davar masa u-matan tov.","!P Hm, davar masa u-matan tov.","Hm, davar masa u-matan tov.","!P Hm, dawar masa u-matan tow.","!P Hm, davar masa u-matan tov.","!P Хм, davar masa u-matan tov.","!P Hm, davar masa u-matan tov.","Hm, davar masa u-matan tov.","!P Hm, davar masa u-matan tov.","!P Hm, davar masa u-matan tov."
utok_utok_na_m_ich_schlag_2ckV,"!P Ich schlage dir das Gesicht ein, du Schurke!","!P Ich schlage dir das Gesicht ein, du Schurke!","!P Ich schlage dir das Gesicht ein, du Schurke!","Ich schlage dir das Gesicht ein, du Schurke!","!P Ich schlage dir das Gesicht ein, du Schurke!","!P Ich schlage dir das Gesicht ein, du Schurke!","/[!P Ich schlage dir das Gesicht ein, du Schurke!]\","!P Ich schlage dir das Gesicht ein, du Schurke!","!P Ich schlage dir das Gesicht ein, du Schurke!","!P Ich schlage dir das Gesicht ein, du Schurke!","!P Ich schlage dir das Gesicht ein, du Schurke!","!P Ich schlage dir das Gesicht ein, du Schurke!","!P Ich schlage dir das Gesicht ein, du Schurke!","!P Ich schlage dir das Gesicht ein, du Schurke!","!P Ich schlage dir das Gesicht ein, du Schurke!","!P Ich schlage dir das Gesicht ein, du Schurke!","!P Ich schlage dir das Gesicht ein, du Schurke!"
kost_kibic_mil_jaj_mamo_t_Bj6J,"!P Joj, mamo! What a game!","!P Joj, mamo! What a game!","!P Joj, mamo! What a game!","Joj, mamo! To je ale hra!","!P Joj, mamo! What a game!","!P Joj, mamo! What a game!","!P Joj, mamo! What a game!","!P Joj, mamo! What a game!","!P Joj, mamo! What a game!","!P Joj, mamo! What a game!","!P Joj, mamo! What a game!","!P Joj, mamo! What a game!","!P Joj, mamo! What a game!","!P Joj, mamo! What a game!","!P Joj, mamo! What a game!","!P Joj, mamo! What a game!","!P Joj, mamo! What a game!"
pozd_pozdrav_k_jo_napot_qxq3,!P Jó napot!,!P Jó napot!,!P Jó napot!,Jó napot!,!P Jó napot!,!P Jó napot!,!P Jó napot!,!P Jó napot!,!P Jó napot!,!P Jó napot!,!P Jó napot!,!P Jó napot!,!P Jó napot!,!P Jó napot!,!P Jó napot!,!P Jó napot!,!P Jó napot!
gree_pozdrav_n_kannst_du__7FNT,"!P Kannst du nicht waschen, Schwein?!","!P Kannst du nicht waschen, Schwein?!","!P Kannst du nicht waschen, Schwein?!","Kannst du nicht waschen, Schwein?!","!P Kannst du nicht waschen, Schwein?!","!P Kannst du nicht waschen, Schwein?!","!P Kannst du nicht waschen, Schwein?!","!P Kannst du nicht waschen, Schwein?!","!P Kannst du nicht waschen, Schwein?!","!P Kannst du nicht waschen, Schwein?!","!P Kannst du nicht waschen, Schwein?!","!P Kannst du nicht waschen, Schwein?!","!P Kannst du nicht waschen, Schwein?!","!P Kannst du nicht waschen, Schwein?!","!P Kannst du nicht waschen, Schwein?!","!P Kannst du nicht waschen, Schwein?!","!P Kannst du nicht waschen, Schwein?!"
krov_kostkar_k_le_peske_e_h9lP,"Le peske e guba, dela brishind.","!P Le peske e guba, dela brishind.","!P Le peske e guba, dela brishind.","Le peske e guba, dela brišind.","!P Le peske e guba, dela brishind.","!P Le peske e guba, dela brishind.","!P Le peske e guba, dela brishind.","!P Le peske e guba, dela brishind.","!P Le peske e guba, dela brishind.","!P Le peske e guba, dela brishind.","!P Le peske e guba, dela brishind.","!P Le peske e guba, dela brishind.","!P Le peske e guba, dela brishind.","!P Le peske e guba, dela brishind.","!P Le peske e guba, dela brishind.","!P Le peske e guba, dela brishind.","!P Le peske e guba, dela brishind."
utok_utok_na_m_los_gehts__Ofup,!P Los geht's! Töten wir sie!,!P Los geht's! Töten wir sie!,!P Los geht's! Töten wir sie!,Los geht's! Töten wir sie!,!P Los geht's! Töten wir sie!,!P Los geht's! Töten wir sie!,/[!P Los geht's! Töten wir sie!]\,!P Los geht's! Töten wir sie!,!P Los geht's! Töten wir sie!,!P Los geht's! Töten wir sie!,!P Los geht's! Töten wir sie!,!P Los geht's! Töten wir sie!,!P Los geht's! Töten wir sie!,!P Los geht's! Töten wir sie!,!P Los geht's! Töten wir sie!,!P Los geht's! Töten wir sie!,!P Los geht's! Töten wir sie!
gree_pozdrav_n_mein_freun_KxnG,"!P Mein Freund, ich beneide dich total um deine Trunkenheit.","!P Mein Freund, ich beneide dich total um deine Trunkenheit.","!P Mein Freund, ich beneide dich total um deine Trunkenheit.","Mein Freund, ich beneide dich total um deine Trunkenheit.","!P Mein Freund, ich beneide dich total um deine Trunkenheit.","!P Mein Freund, ich beneide dich total um deine Trunkenheit.","!P Mein Freund, ich beneide dich total um deine Trunkenheit.","!P Mein Freund, ich beneide dich total um deine Trunkenheit.","!P Mein Freund, ich beneide dich total um deine Trunkenheit.","!P Mein Freund, ich beneide dich total um deine Trunkenheit.","!P Mein Freund, ich beneide dich total um deine Trunkenheit.","!P Mein Freund, ich beneide dich total um deine Trunkenheit.","!P Mein Freund, ich beneide dich total um deine Trunkenheit.","!P Mein Freund, ich beneide dich total um deine Trunkenheit.","!P Mein Freund, ich beneide dich total um deine Trunkenheit.","!P Mein Freund, ich beneide dich total um deine Trunkenheit.","!P Mein Freund, ich beneide dich total um deine Trunkenheit."
gree_pozdrav_n_mein_gott_RIZ2,!P Mein Gott!,!P Mein Gott!,!P Mein Gott!,Mein Gott!,!P Mein Gott!,!P Mein Gott!,!P Mein Gott!,!P Mein Gott!,!P Mein Gott!,!P Mein Gott!,!P Mein Gott!,!P Mein Gott!,!P Mein Gott!,!P Mein Gott!,!P Mein Gott!,!P Mein Gott!,!P Mein Gott!
gree_pozdrav_n_mein_gott__eRz5,!P Mein Gott! Das ist Blut?,!P Mein Gott! Das ist Blut?,!P Mein Gott! Das ist Blut?,Mein Gott! Das ist Blut?,!P Mein Gott! Das ist Blut?,!P Mein Gott! Das ist Blut?,!P Mein Gott! Das ist Blut?,!P Mein Gott! Das ist Blut?,!P Mein Gott! Das ist Blut?,!P Mein Gott! Das ist Blut?,!P Mein Gott! Das ist Blut?,!P Mein Gott! Das ist Blut?,!P Mein Gott! Das ist Blut?,!P Mein Gott! Das ist Blut?,!P Mein Gott! Das ist Blut?,!P Mein Gott! Das ist Blut?,!P Mein Gott! Das ist Blut?
