sample_bucket,localization_key,source_score,discovery_reasons,signal_languages,strong_preserved_tokens,very_strong_content_ratio,strong_content_ratio,English_display,English_reference
TOP,goss_uhersky_v_hele_ja_to_3VcO,197,dense_two_very_strong_preserved_tokens; signal_support,hungarian,van; adok; neki; még; egy; hónapot; nem; lesz; valami; kiadós; zsákmány; akkor; szarok; bele; egészbe,1.000,1.000,"Ez van, adok neki még egy hónapot, és ha nem lesz valami kiadós zsákmány, akkor szarok bele az egészbe.","Ez van, adok neki még egy hónapot, és ha nem lesz valami kiadós zsákmány, akkor szarok bele az egészbe."
TOP,goss_lapka_mlu_ja_za_to_n_Xsjk,197,dense_two_very_strong_preserved_tokens; signal_support,hungarian,hát; tehetek; róla; hogy; pont; egy; heringkereskedőt; evett; erre; fene; csak; nem; hagyjuk; kárba; veszni,1.000,1.000,"Hát én tehetek róla, hogy pont egy heringkereskedőt evett erre a fene? Csak nem hagyjuk kárba veszni!","Hát én tehetek róla, hogy pont egy heringkereskedőt evett erre a fene? Csak nem hagyjuk kárba veszni!"
TOP,goss_uhersky_v_nebud_blbe_F6X2,196,dense_two_very_strong_preserved_tokens,,don't; daft; think; talk; amongst; themselves; all; it'll; take; few; days; before; knows; everything; about,1.000,1.000,Don't be daft. You think they don't talk amongst themselves? All it'll take is a few days before she knows everything about me.,Don't be daft. You think they don't talk amongst themselves? All it'll take is a few days before she knows everything about me.
TOP,tara_taras_mura_humiliare_OcmR,196,dense_two_very_strong_preserved_tokens,,humiliare; sub; potenti; manu; dei; contremisce; effuge; invocato; anobis; sancto; terribili; nomine; quem; inferi; tremunt,1.000,1.000,"Humiliare sub potenti manu dei, contremisce et effuge,  invocato anobis sancto et terribili nomine, quem inferi tremunt.","Humiliare sub potenti manu dei, contremisce et effuge,  invocato anobis sancto et terribili nomine, quem inferi tremunt."
TOP,stal_stalker_urcite_nekoh_M0ja,194,dense_two_very_strong_preserved_tokens,,biztos; van; valakid; ugye; annyi; baj; legyen; szívesen; megvívok; vele; szívedért; meglátod; hogy; fogok; szolgálni,1.000,1.000,"Biztos van valakid, ugye? Annyi baj legyen, szívesen megvívok vele a szívedért. Meglátod, hogy rá fogok szolgálni.","Biztos van valakid, ugye? Annyi baj legyen, szívesen megvívok vele a szívedért. Meglátod, hogy rá fogok szolgálni."
TOP,sam__rabin_poradne_si_umy_Dcnq,194,dense_two_very_strong_preserved_tokens,,mir; kenen; shmuesn; vegn; dos; oyfn; veg; ober; koydem; gey; oyb; emetser; darf; noch; hilfn,1.000,1.000,Mir kenen shmuesn vegn dos oyfn veg. Ober koydem gey un ze oyb emetser darf noch hilfn.,Mir kenen shmuesn vegn dos oyfn veg. Ober koydem gey un ze oyb emetser darf noch hilfn.
TOP,dial_stalker_no_to_by_slo_kJdn,194,dense_two_very_strong_preserved_tokens,,erről; lehet; szó; akkor; meg; van; beszélve; békibe; hagyom; azt; nőszemélyt; érted; keine; frau; igen,1.000,1.000,"Na, erről lehet szó. Akkor meg van beszélve. Békibe hagyom azt a nőszemélyt, jó? Érted? Keine frau! Igen!","Na, erről lehet szó. Akkor meg van beszélve. Békibe hagyom azt a nőszemélyt, jó? Érted? Keine frau! Igen!"
TOP,ui_gearmaste_seq3_xrtF,189,dense_two_very_strong_preserved_tokens; english_reference_differs,,won; previous; discipline; event; wins; one; loses; last; considered; valid; determining; too; arduous; victory,1.000,1.000,"Henry won the previous discipline. In the event that he wins one and loses one, the last one is considered valid. If determining that is too arduous, the last victory is considered valid","Henry won the previous discipline - if he won one and lost one, the status from the most recent one will be valid, if it's too much work, victory will be valid."
TOP,ui_lazebnice_seq3_2P2D,189,dense_two_very_strong_preserved_tokens; english_reference_differs,,won; previous; discipline; event; wins; one; loses; last; considered; valid; determining; too; arduous; victory,1.000,1.000,"Henry won the previous discipline. In the event that he wins one and loses one, the last one is considered valid. If determining that is too arduous, the last victory is considered valid","Henry won the previous discipline - if he won one and lost one, the status from the most recent one will be valid, if it's too much work, victory will be valid."
TOP,ryti_dlc3_goss_copak_bene_0sLL,189,dense_two_very_strong_preserved_tokens; english_reference_differs,,just; benedict; even; zacharias; looked; like; wanted; bash; over; head; barely; ever; raises; voice,1.000,1.000,"Not just Benedict, but even Zacharias looked like he wanted to bash them over the head. And he barely ever even raises his voice.","Not just Benedict, but even Zachariah looked like he wanted to bash them over the head. And he barely ever even raises his voice."
TOP,bff__brabant_z_nejaka_fra_yIFb,189,dense_two_very_strong_preserved_tokens; english_reference_differs,,quel; putain; trou; comment; sommes-nous; arrivés; avec; une; telle; bande; crétins; que; dieu; protège,1.000,1.000,"Quel putain de trou! Comment en sommes-nous arrivés là, et avec une telle bande de crétins? Que Dieu me protège!","!P Quel putain de trou! Comment en sommes-nous arrivés là, et avec une telle bande de crétins? Que Dieu me protège!"
TOP,goss_uhersky_v_zasrane_je_UyXu,186,dense_two_very_strong_preserved_tokens; signal_support,hungarian,faszomba; hát; mondom; hogy; nincs; pénzem; menj; grozavhoz; vagy; chertanhoz; vedd; őket; fizessék; zsoldunkat,1.000,1.000,"A faszomba, hát mondom, hogy nincs pénzem. Menj el Grozavhoz vagy Chertanhoz, és vedd rá őket, hogy fizessék ki a zsoldunkat...","A faszomba, hát mondom, hogy nincs pénzem. Menj el Grozavhoz vagy Chertanhoz, és vedd rá őket, hogy fizessék ki a zsoldunkat..."
TOP,sam__pogrom_st_jasny_bro__UYa2,186,dense_two_very_strong_preserved_tokens; signal_support,german,dos; nemt; bisl; tsayt; biz; zey; durkhshloygn; ich; hof; nor; hobn; nisht; keyn; baran,1.000,1.000,"Dos nemt a bisl tsayt, biz zey durkhshloygn! Ich hof nor az zey hobn nisht keyn baran!","Dos nemt a bisl tsayt, biz zey durkhshloygn! Ich hof nor az zey hobn nisht keyn baran!"
TOP,goss_lapka_mlu_no_to_ceka_ors1,186,dense_two_very_strong_preserved_tokens; signal_support,hungarian,hát; pont; várakozás; bámulsz; fejedből; azon; görcsölsz; hogy; nem; téved-e; erre; egy; csapat; zsandár,1.000,1.000,"Hát pont ez az, a várakozás! Bámulsz ki a fejedből és azon görcsölsz, hogy nem téved-e erre egy csapat zsandár.","Hát pont ez az, a várakozás! Bámulsz ki a fejedből és azon görcsölsz, hogy nem téved-e erre egy csapat zsandár."
TOP,goss_gossip_hu_neprehanej_0eeQ,184,dense_two_very_strong_preserved_tokens,,don't; lay; thick; you've; got; long; way; before; hammer; tongs; maria; tavern; other; day,1.000,1.000,Don't lay it on so thick. You've got a long way to go before that. You were at it hammer and tongs with Maria in the tavern the other day…,Don't lay it on so thick. You've got a long way to go before that. You were at it hammer and tongs with Maria in the tavern the other day…
TOP,sam__rabin_nikdy_zadnymu__FD3t,184,dense_two_very_strong_preserved_tokens,,yom; iro; ani; eyleykho; evtokh; ven; ikh; hob; gehat; moyres; bin; soymekh; oyf; ha-shem,1.000,1.000,"Yom iro, ani eyleykho evtokh. Ven ikh hob gehat moyres, bin ikh soymekh oyf ha-shem.","Yom iro, ani eyleykho evtokh. Ven ikh hob gehat moyres, bin ikh soymekh oyf ha-shem."
TOP,goss_lapka_mlu_dyt_jen_se_eC19,183,dense_two_very_strong_preserved_tokens,,dehát; csak; itt; trónolsz; bozótban; várod; hogy; valami; balfasz; erre; kolbászoljon; ebben; olyan; fárasztó,1.000,1.000,"Dehát csak itt trónolsz a bozótban és várod, hogy valami balfasz erre kolbászoljon, ebben mi olyan fárasztó?","Dehát csak itt trónolsz a bozótban és várod, hogy valami balfasz erre kolbászoljon, ebben mi olyan fárasztó?"
TOP,goss_lapka_mlu_takze_mi_u_nuBN,183,dense_two_very_strong_preserved_tokens,,tegyél; meg; nekem; egy; szívességet; eridj; basszál; aludd; magad; rendesen; felejtsd; ezt; világvége; marhaságot,1.000,1.000,"Tegyél meg nekem egy szívességet! Eridj, basszál be, aludd ki magad rendesen és felejtsd el ezt a világvége marhaságot.","Tegyél meg nekem egy szívességet! Eridj, basszál be, aludd ki magad rendesen és felejtsd el ezt a világvége marhaságot."
TOP,goss_lapka_mlu_ale_ja_nic_G70P,183,dense_two_very_strong_preserved_tokens,,meg; hozzá; nyúltam; csak; álltam; ott; azon; agyaltam; hogy; vajon; aki; fátylat; varr; békáknak,1.000,1.000,"Én meg hozzá se nyúltam. Csak álltam ott, és azon agyaltam, hogy vajon ki az, aki fátylat varr a békáknak.","Én meg hozzá se nyúltam. Csak álltam ott, és azon agyaltam, hogy vajon ki az, aki fátylat varr a békáknak."
TOP,goss_gossip_na_mmmmmm_agu7,178,dense_two_very_strong_preserved_tokens; english_reference_differs; signal_support,german,könnt; ich; jetzt; schon; eigentlich; von; deinem; bette; freilich; dich; schützen; vor; gespenstern,1.000,1.000,"""...Könnt' ich jetzt schon eigentlich von deinem Bette freilich dich schützen vor Gespenstern.""",Könnt' ich jetzt schon eigentlich von deinem Bette freilich dich schützen vor Gespenstern
TOP,chat_event_tab_guten_tag__qFbf,178,dense_two_very_strong_preserved_tokens; english_reference_differs; signal_support,german,guten; tag; pilger; geht; hier; nicht; weiter; die; strassen; sind; schlecht; und; gefährlich,1.000,1.000,"Guten Tag, Pilger! Geht hier nicht weiter, die Straßen sind schlecht und gefährlich.","Guten Tag, Pilger! Hör auf hier, die Straßen sind schlecht und gefährlich."
TOP,goss_lapka_mlu_sel_sem_po_rYDJ,172,dense_two_very_strong_preserved_tokens,,erdőben; voltam; egyszerre; csak; gyönyörű; ének; üti; meg; fülemet; tisztára; mint; angyalok; kara,1.000,1.000,Az erdőben voltam és egyszerre csak gyönyörű ének üti meg a fülemet. Tisztára mint az angyalok kara.,Az erdőben voltam és egyszerre csak gyönyörű ének üti meg a fülemet. Tisztára mint az angyalok kara.
TOP,goss_lapka_mlu_no_pak_se__c7wE,172,dense_two_very_strong_preserved_tokens,,aztán; egyik; másik; után; elkezdtek; felfújódni; szétpukkantak; apám; egy; csomó; arany; szóródott; belőlük,1.000,1.000,"Aztán egyik a másik után elkezdtek felfújódni és szétpukkantak. És apám, egy csomó arany szóródott ki belőlük.","Aztán egyik a másik után elkezdtek felfújódni és szétpukkantak. És apám, egy csomó arany szóródott ki belőlük."
TOP,goss_uhersky_v_hele_mam_t_TO8b,172,dense_two_very_strong_preserved_tokens,,figyelj; van; egy; remek; ötletem; szedj; össze; néhány; cimborát; vívjunk; meg; pár; küzdelmet,1.000,1.000,"Figyelj, van egy remek ötletem. Szedj össze néhány cimborát és vívjunk meg egy pár küzdelmet.","Figyelj, van egy remek ötletem. Szedj össze néhány cimborát és vívjunk meg egy pár küzdelmet."
TOP,goss_lapka_mlu_ja_mne_je__7e3N,171,dense_two_very_strong_preserved_tokens,,nekem; aztán; mindegy; adj; egy; kis; zabot; vagy; bármit; állandóan; döglött; halat; zabálok,1.000,1.000,"Én? Nekem aztán mindegy, adj egy kis zabot, vagy bármit. De ha állandóan döglött halat zabálok.","Én? Nekem aztán mindegy, adj egy kis zabot, vagy bármit. De ha állandóan döglött halat zabálok."
TOP,npc__nalezeny__zdalo_se_m_os4U,166,dense_two_very_strong_preserved_tokens; english_reference_differs; signal_support,hungarian,azt; hittem; van; ott; valami; nem; láttam; semmit; meg; kell; dupláznunt; őrséget,1.000,1.000,Azt hittem van ott valami. De nem láttam semmit. Meg kell dupláznunt az őrséget.,"I thought there was something strange going on, but I didn't find anything. We should double the guard anyway."
TOP,dial_vasko_menj_vele_muta_sk1b,165,dense_two_very_strong_preserved_tokens; english_reference_differs; signal_support,hungarian,menj; vele; mutasd; meg; neki; hogy; melyikük; aztán; majd; csak; lesz; valahogy,1.000,1.000,"Menj vele, és mutasd meg neki, hogy melyikük az! Aztán majd csak lesz valahogy.","Menj vele, mutasd meg neki, hogy ki ő, és valahogy majd kiderül!"
TOP,zabi_papezsky__pro_rany_b_4dxO,165,dense_two_very_strong_preserved_tokens; english_reference_differs,,per; l'amor; dio; lasci; pace; sono; uomo; chieza; capite; non; fatto; nulla,1.000,1.000,"Per l'amor di Dio, mi lasci in pace! Io sono un uomo di chieza! Capite? Io non ho fatto nulla!","!P Per l'amor di Dio, mi lasci in pace! Io sono un uomo di chieza! Capite? Io non ho fatto nulla!"
TOP,npc__npc_oznac_tak_snad_t_jQrM,165,dense_two_very_strong_preserved_tokens; english_reference_differs; signal_support,hungarian,remélem; senki; más; nem; ivott; abból; rohadt; borból; most; borra; lesz; szükségünk,1.000,1.000,"Remélem, senki más nem ivott abból a rohadt borból... Na most, új borra lesz szükségünk.","I just hope no one else drank the spoilt wine... Well, we're going to need some new wine."
TOP,rozl_obchodnic_vielen_dan_Jbzx,163,dense_two_very_strong_preserved_tokens; signal_support,german; hungarian,vielen; dank; war; mir; eine; freude; mit; dir; geschäfte; machen; mein; freund,1.000,1.000,"Vielen Dank! Es war mir eine Freude, mit dir Geschäfte zu machen, mein Freund!","Vielen Dank! Es war mir eine Freude, mit Dir Geschäfte zu machen, mein Freund!"
TOP,rozl_obchodnik_vielen_dan_zax4,163,dense_two_very_strong_preserved_tokens; signal_support,german; hungarian,vielen; dank; war; mir; eine; freude; mit; dir; geschäfte; machen; mein; freund,1.000,1.000,"Vielen Dank! Es war mir eine Freude, mit dir Geschäfte zu machen, mein Freund!","Vielen Dank! Es war mir eine Freude, mit Dir Geschäfte zu machen, mein Freund!"
TOP,rozl_obchodnic_vielen_dan_pTFA,163,dense_two_very_strong_preserved_tokens; signal_support,german; hungarian,vielen; dank; war; mir; eine; freude; mit; dir; geschäfte; machen; mein; herr,1.000,1.000,"Vielen Dank! Es war mir eine Freude, mit dir Geschäfte zu machen, mein Herr!","Vielen Dank! Es war mir eine Freude, mit Dir Geschäfte zu machen, mein Herr!"
TOP,rozl_obchodnik_vielen_dan_QDLF,163,dense_two_very_strong_preserved_tokens; signal_support,german; hungarian,vielen; dank; war; mir; eine; freude; mit; dir; geschäfte; machen; mein; herr,1.000,1.000,"Vielen Dank! Es war mir eine Freude, mit dir Geschäfte zu machen, mein Herr!","Vielen Dank! Es war mir eine Freude, mit Dir Geschäfte zu machen, mein Herr!"
TOP,goss_lapka_mlu_to_ses_cel_IK2E,160,dense_two_very_strong_preserved_tokens,,bazmeg; tisztára; vagy; ahelyett; hogy; begyűjtenéd; szajrét; csak; állsz; faszságokon; töröd; fejed,1.000,1.000,"Ez bazmeg tisztára te vagy. Ahelyett, hogy begyűjtenéd a szajrét, csak állsz és faszságokon töröd a fejed.","Ez bazmeg tisztára te vagy. Ahelyett, hogy begyűjtenéd a szajrét, csak állsz és faszságokon töröd a fejed."
TOP,sam__samuel_jeste_chvili__2197,160,dense_two_very_strong_preserved_tokens,,gleybstu; dos; ken; haltn; shtendik; mir; muzn; zey; oyfhaltn; far; lang; meglekh,1.000,1.000,"Gleybstu, az dos ken haltn shtendik? Mir muzn zey oyfhaltn! Far vi lang vi meglekh!","Gleybstu, az dos ken haltn shtendik? Mir muzn zey oyfhaltn! Far vi lang vi meglekh!"
TOP,goss_lapka_mlu_no_takovy__N22f,160,dense_two_very_strong_preserved_tokens,,hát; ilyen; dörgéseket; mintha; dörögne; aztán; meg; valaki; röhögne; valahol; ott; lent,1.000,1.000,"Hát ilyen dörgéseket, mintha az ég dörögne. Aztán meg, mintha valaki röhögne. Valahol, ott lent.","Hát ilyen dörgéseket, mintha az ég dörögne. Aztán meg, mintha valaki röhögne. Valahol, ott lent."
TOP,goss_lapka_mlu_jak_jsme_t_LxYw,160,dense_two_very_strong_preserved_tokens,,mint; amikor; lecsaptunk; azokra; bányászokra; mielőtt; begyűjthettük; volna; suskát; megjelent; rohadék; lovag,1.000,1.000,"Mint amikor lecsaptunk azokra a bányászokra, de mielőtt begyűjthettük volna a suskát, megjelent az a rohadék lovag.","Mint amikor lecsaptunk azokra a bányászokra, de mielőtt begyűjthettük volna a suskát, megjelent az a rohadék lovag."
TOP,goss_lapka_mlu_presne_a_t_Noxp,160,dense_two_very_strong_preserved_tokens,,ott; hallgattad; azt; őrült; prédikátort; aki; pokol; tüzéről; meg; kénköves; bugyrokról; hadovált,1.000,1.000,"Na, ez az! Ott hallgattad azt az őrült prédikátort, aki a pokol tüzéről meg a kénköves bugyrokról hadovált.","Na, ez az! Ott hallgattad azt az őrült prédikátort, aki a pokol tüzéről meg a kénköves bugyrokról hadovált."
TOP,goss_lapka_mlu_no_a_pak_s_YcmG,160,dense_two_very_strong_preserved_tokens,,odaérek; egy; ilyen; kis; tavacskához; hát; látom; hogy; fatuskón; béka; azok; énekelnek,1.000,1.000,"Odaérek egy ilyen kis tavacskához, hát látom, hogy egy fatuskón 13 béka ül és azok énekelnek.","Odaérek egy ilyen kis tavacskához, hát látom, hogy egy fatuskón 13 béka ül és azok énekelnek."
TOP,ryti_dlc3_goss_presne_ty__14IB,159,dense_two_very_strong_preserved_tokens,,exactly; diendebruder; karl; swordfight; only; seeing; they're; dumb; dumber; ended; cutting; eachother,1.000,1.000,"Exactly! Diendebruder Karl had them swordfight, only seeing as they're dumb and dumber, they ended up cutting eachother!","Exactly! Diendebruder Karl had them swordfight, only seeing as they're dumb and dumber, they ended up cutting eachother!"
MIDDLE,ui_turnajovy_seq6_8yFC,50,dense_two_very_strong_preserved_tokens,,only; sword; shield,1.000,1.000,only sword and shield 3-5,only sword and shield 3-5
MIDDLE,ui_idle_bark_seq88_8aC9,50,dense_two_very_strong_preserved_tokens,,opponent; wounded; arm,1.000,1.000,opponent has wounded arm,opponent has wounded arm
MIDDLE,ui_reditel_v_seq39_HxnU,50,dense_two_very_strong_preserved_tokens,,peter; shutup; miner,1.000,1.000,Peter Shutup - miner,Peter Shutup - miner
MIDDLE,bff__brabant_z_por_krista_b3WS,50,dense_two_very_strong_preserved_tokens,,pour; l'amour; dieu,0.600,0.600,Pour l'amour de Dieu! Why are you awake so late?,Pour l'amour de Dieu! Why are you awake so late?
MIDDLE,lamp_lamprecht_praga_capu_oGKP,50,dense_two_very_strong_preserved_tokens,,praga; caput; regni,1.000,1.000,Praga caput regni!,Praga caput regni!
MIDDLE,vysl_henry_vade_retro_sat_pdo2,50,dense_two_very_strong_preserved_tokens,,vade; retro; satana,0.600,0.600,"Say after me: ""Vade retro Satana!""","Say after me: ""Vade retro Satana!"""
MIDDLE,vrac_farar_ant_scientia_e_6hjw,50,dense_two_very_strong_preserved_tokens,,scientia; est; potentia,1.000,1.000,Scientia est potentia.,Scientia est potentia.
MIDDLE,vrac_farar_ant_scientia_e_RL5k,50,dense_two_very_strong_preserved_tokens,,scientia; est; potentia,1.000,1.000,Scientia est potentia.,Scientia est potentia.
MIDDLE,cin__opat_jan__sed_pax_et_En8s,50,dense_two_very_strong_preserved_tokens,,sed; pax; gáudium,1.000,1.000,"sed pax et gáudium,","sed pax et gáudium,"
MIDDLE,zatc_mlynar_kr_sero_sapiu_HJWg,50,dense_two_very_strong_preserved_tokens,,sero; sapiunt; phryges,1.000,1.000,Sero sapiunt Phryges.,Sero sapiunt Phryges.
MIDDLE,ui_dostal_za_seq50_sXIh,50,dense_two_very_strong_preserved_tokens,,soldier; hit; arm,1.000,1.000,soldier was hit in the arm,soldier was hit in the arm
MIDDLE,ui_dostal_za_seq52_UvEj,50,dense_two_very_strong_preserved_tokens,,soldier; hit; body,1.000,1.000,soldier was hit in the body,soldier was hit in the body
MIDDLE,ui_dostal_za_seq24_csKk,50,dense_two_very_strong_preserved_tokens,,soldier; hit; head,1.000,1.000,soldier was hit in the head,soldier was hit in the head
MIDDLE,krov_kostkar_k_takovej_sm_T9AD,50,dense_two_very_strong_preserved_tokens,,such; dumb; luck,1.000,1.000,Such dumb luck!,Such dumb luck!
MIDDLE,vysl_henry_sunt_mala_sunt_01AX,50,dense_two_very_strong_preserved_tokens,,sunta; mala; quae,0.500,0.500,"Sunta mala... quae... damn it, what comes next?","Sunta mala... quae... damn it, what comes next?"
MIDDLE,ui_turnajovy_seq38_7LGN,50,dense_two_very_strong_preserved_tokens,,sword; shield; longsword,1.000,1.000,sword and shield or longsword,sword and shield or longsword
MIDDLE,opil_opily_kum_pojd_si_po_v3c6,50,dense_two_very_strong_preserved_tokens,,szóval; megint; iszunk,1.000,1.000,Szóval ma megint iszunk?,Szóval ma megint iszunk?
MIDDLE,zatc_mlynar_kr_tacent_sat_k2db,50,dense_two_very_strong_preserved_tokens,,tacent; satis; laudant,1.000,1.000,"Tacent, satis laudant.","Tacent, satis laudant."
MIDDLE,ui_podareny__seq3_bmTQ,50,dense_two_very_strong_preserved_tokens,,target; started; bleeding,1.000,1.000,target started bleeding,target started bleeding
MIDDLE,ui_podareny__seq9_73lp,50,dense_two_very_strong_preserved_tokens,,target; started; bleeding,1.000,1.000,target started bleeding,target started bleeding
MIDDLE,ui_podareny__seq10_tH0A,50,dense_two_very_strong_preserved_tokens,,target; hit; head,1.000,1.000,target was hit in the head,target was hit in the head
MIDDLE,ui_podareny__seq4_b02n,50,dense_two_very_strong_preserved_tokens,,target; hit; head,1.000,1.000,target was hit in the head,target was hit in the head
MIDDLE,kuma_spizovaci_hlidat_je_QMzf,50,dense_two_very_strong_preserved_tokens,,tartsd; rajtuk; szemed,1.000,1.000,Tartsd rajtuk a szemed!,Tartsd rajtuk a szemed!
MIDDLE,zavo_zavodnik__te_chas_mi_FvIA,50,dense_two_very_strong_preserved_tokens,,chas; miro; kar,1.000,1.000,Te chas miro kar!,
MIDDLE,cin__opat_jan__ubi_neque__2ILQ,50,dense_two_very_strong_preserved_tokens,,ubi; neque; luctus,1.000,1.000,"ubi neque luctus,","ubi neque luctus,"
MIDDLE,vysl_safarik_vade_retro_s_TsU0,50,dense_two_very_strong_preserved_tokens,,vade; retro; satana,1.000,1.000,Vade retro Satana!,Vade retro Satana!
MIDDLE,s_he_hejtman_s_kurva_co_s_9VUc,50,signal_supported_two_token_preservation; signal_support,german,verdammt; mein; gott,0.333,0.333,"Verdammt, Mein Gott! What were you thinking?! What will people say when the Collector robs them again?!","Verdammt, Mein Gott! What were you thinking?! What will people say when the Collector robs them again?!"
MIDDLE,henr_menhart_z_verstehen__edkX,50,dense_two_very_strong_preserved_tokens,,verstanden; ratsherr; danke,1.000,1.000,"Verstanden, Ratsherr. Danke.","Verstanden, Ratsherr. Danke."
MIDDLE,opon_oponent_s_bacha_budo_cIjd,50,dense_two_very_strong_preserved_tokens,,vigyázz; lőni; fog,1.000,1.000,Vigyázz! Lőni fog!,Vigyázz! Lőni fog!
MIDDLE,opon_oponent_s_bacha_luk_roai,50,dense_two_very_strong_preserved_tokens,,vigyázz; van; nála,1.000,1.000,"Vigyázz, íj van nála!","Vigyázz, íj van nála!"
MIDDLE,o_zi_knez_bohu_vivere_mil_j0nN,50,dense_two_very_strong_preserved_tokens,,vivere; militare; est,0.500,0.500,"Vivere militare est... But no, I'm a chaplain, not a warrior.","Vivere militare est... But no, I'm a chaplain, not a warrior."
MIDDLE,menh_menhart_z_was_kann_m_FHYo,50,dense_two_very_strong_preserved_tokens,,kann; man; tun,1.000,1.000,Was kann man tun?,Was kann man tun?
