representative_key,family_size,source_score,signal_languages,strong_preserved_tokens,very_strong_content_ratio,strong_content_ratio,English_display,English_reference,translation_status,source_language,verified_meaning,notes
npc__muz_samom_oy_gevalt_p7Zi,4,32,yiddish_hebrew,gevalt,1.000,1.000,Oy gevalt?!,!P Oy Gevalt?!,NEEDS_TRANSLATION,,,
endi_rozloucen_salom_jind_YSUv,4,28,,sholem,1.000,1.000,"Sholem, Henry!","!P Shalom, Henry!",NEEDS_TRANSLATION,,,
dial_lacek_doprdele_ty_se_5vXu,4,27,,sakra,1.000,1.000,Sakra…!,Sakra...,NEEDS_TRANSLATION,,,
alsi_alsik_tyvole_nymx,4,27,,vole,1.000,1.000,Ty vole!,Jesus…,NEEDS_TRANSLATION,,,
kost_kostky_bu_verdammt__ifBT,4,27,,verdammt,1.000,1.000,Verdammt!,Verdammt!,NEEDS_TRANSLATION,,,
situ_situace_p_besser_der_BCZA,3,107,german,ein; pranger; für; die; guten; galgen; schurken,1.000,1.000,"Ein Pranger für die Guten, ein Galgen für die Schurken!",Besser der Pranger als der Galgen!,NEEDS_TRANSLATION,,,
afte_hejtamn_f_na_und_es__5BH3,3,104,german,und; ist; doch; gut; oder; mein; freund,0.700,0.700,"Na und? Es ist doch gut, oder? May it serve you in good health, mein Freund.","!P Na und? Es ist doch gut, oder? May it serve you in good health, Mein Freund.",NEEDS_TRANSLATION,,,
gree_pozdrav_n_was_tust_d_EdwU,3,103,german; hungarian,tust; hier; mit; einem; nackten; hintern; herumzulaufen,1.000,1.000,"!P Was tust du, hier mit einem nackten Hintern herumzulaufen?!","!P Was tust du, hier mit einem nackten Hintern herumzulaufen?!",NEEDS_TRANSLATION,,,
gree_obchodnik_wie_kann_i_cSy3,3,101,german,wie; kann; ich; dir; helfen; mein; freund,1.000,1.000,"Wie kann ich dir helfen, mein Freund?","Wie kann ich dir helfen, mein Freund?",NEEDS_TRANSLATION,,,
afte_hejtamn_f_oh_ja_ja_d_HjZH,3,95,german,das; hast; gut; gemacht; mein; freund,1.000,1.000,"Oh ja, ja, das hast du gut gemacht, mein Freund!","!P Oh ja, ja, das haben Sie gut gemacht, mein Freund!",NEEDS_TRANSLATION,,,
gree_pozdrav_n_du_bist_ei_ptsl,3,89,german,bist; ein; bisschen; wackelig; mein; freund,1.000,1.000,"!P Du bist ein bisschen wackelig, mein Freund.","!P Du bist ein bisschen wackelig, mein Freund.",NEEDS_TRANSLATION,,,
gree_pozdrav_n_wie_kann_i_1TYD,3,82,german,wie; kann; ich; dir; helfen,1.000,1.000,Wie kann ich dir helfen?,!P Wie kann ich dir helfen?,NEEDS_TRANSLATION,,,
cp_z_henry_o_mangi_la_min_lEFE,3,81,,mangi; minestra; salti; dalla; finestra,1.000,1.000,O mangi la minestra o salti dalla finestra.,!P O mangi la minestra o salti dalla finestra.,NEEDS_TRANSLATION,,,
gree_pozdrav_n_du_bist_be_LQIu,3,77,german,bist; betrunken; das; ist; furchtbar,1.000,1.000,!P Du bist betrunken. Das ist furchtbar!,!P Du bist betrunken. Das ist furchtbar!,NEEDS_TRANSLATION,,,
gree_pozdrav_n_mein_gott__eRz5,3,77,german,mein; gott; das; ist; blut,1.000,1.000,!P Mein Gott! Das ist Blut?,!P Mein Gott! Das ist Blut?,NEEDS_TRANSLATION,,,
endi_rozloucen_bis_bald_m_VKMW,3,70,german,bis; bald; mein; freund,1.000,1.000,"Bis bald, mein Freund!","!P Bis bald, mein Freund!",NEEDS_TRANSLATION,,,
ph_j_brabant_dlouha_uplne_2kyF,3,68,,fatta; legge; trovato; l'inganno,1.000,1.000,"Fatta la legge, trovato l'inganno.","!P Fatta la legge, trovato l'inganno.",NEEDS_TRANSLATION,,,
gree_pozdrav_m_pal_soste__Nc4Y,3,68,,pal; soste; djal; goro,1.000,1.000,"Pal soste djal, goro?","!T Pal soste djal, goro?",NEEDS_TRANSLATION,,,
gree_pozdrav_m_gepriesen__4Jaf,3,63,,gepriesen; sei; der; herr,1.000,1.000,Gepriesen sei der Herr!,Gepriesen sei der Herr!,NEEDS_TRANSLATION,,,
hosp_hospodsky_mein_gott__Tcc4,3,58,german,mein; gott; ist,1.000,1.000,"Mein Gott, wo ist es?","!P Mein Gott, wo ist es?",NEEDS_TRANSLATION,,,
pozd_pozdrav_n_guten_tag_eHbA,3,58,german,schön; dich; sehen,1.000,1.000,"Schön, dich zu sehen.",Schön dich zu sehen.,NEEDS_TRANSLATION,,,
npc__npc_vidi__neohrozuj__j3UB,3,58,german,soll; das; denn,1.000,1.000,Was soll das denn?,!P Was soll das sein?,NEEDS_TRANSLATION,,,
gree_obchodnic_las_mich_c_gToU,3,56,,las; mikh; khamer,1.000,1.000,"Las mikh, khamer!","Las mich, chamr!",NEEDS_TRANSLATION,,,
odmi_npc_odmit_las_mich_m_J4Ez,3,56,,las; mikh; mamzer,1.000,1.000,"Las mikh, mamzer!","Las mich, Mamzer!",NEEDS_TRANSLATION,,,
endi_rozloucen_mi_o_del_t_QPQi,3,56,,del; tut; arak-hel,1.000,1.000,Mi o Del tut arak-hel!,!T Mi o Del tut arak-hel!,NEEDS_TRANSLATION,,,
pozd_uctivy_po_naturlich__42x1,3,56,,natürlich; kein; problem,1.000,1.000,"Natürlich, kein Problem.","Naturlich, kein Problem.",NEEDS_TRANSLATION,,,
endi_rozloucen_o_del_tut__nL0z,3,56,,del; tut; arak-hel,1.000,1.000,O Del tut te arak-hel!,!T O Del tut te arak-hel!,NEEDS_TRANSLATION,,,
free_svedek_re_vo_co_ti_de_coDT,3,56,,pal; soste; djas,1.000,1.000,Pal soste djas?,!T Pal soste djas?,NEEDS_TRANSLATION,,,
gree_pozdrav_m_ci_kaj_dza_E71C,3,56,,sar; sal; gadjo,1.000,1.000,"Sar sal, gadjo?","!T Sar sal, gadjo?",NEEDS_TRANSLATION,,,
gree_pozdrav_m_ci_kaj_dzas_XjmG,3,56,,sar; sal; goro,1.000,1.000,"Sar sal, goro?","!T Sar sal, goro?",NEEDS_TRANSLATION,,,
npc__npc_je_v__te_chas_mi_bntx,3,56,,khas; miro; kar,1.000,1.000,Te khas miro kar!,!T Te khas miro kar!,NEEDS_TRANSLATION,,,
gree_obchodnic_vos_glots__Q8em,3,56,,vos; glots; khamer,1.000,1.000,"Vos glots du, khamer?","Vos glots du, chamr?",NEEDS_TRANSLATION,,,
kate_henry_hai_due_stelle_Fvmx,3,55,,tua; bellezza; abbaglia,1.000,1.000,La tua bellezza mi abbaglia!,!P La tua bellezza mi abbaglia!,NEEDS_TRANSLATION,,,
gree_pozdrav_m_was_ist_lo_eTQr,3,53,german,ist; los; säufer,1.000,1.000,"Was ist los, du Säufer?","Was ist los, du Säufer?",NEEDS_TRANSLATION,,,
gree_pozdrav_n_was_brauch_QWPs,3,51,,brauchst; von; mir,1.000,1.000,!P Was brauchst du von mir?,!P Was brauchst du von mir?,NEEDS_TRANSLATION,,,
endi_rozloucen_auf_wieder_RwmO,3,46,german,auf; wiedersehen,1.000,1.000,"Auf Wiedersehen, Heinrich!","!P Auf Wiedersehen, Heinrich!",NEEDS_TRANSLATION,,,
goss_gossip_na_mein_gott_wBag,3,46,german,mein; gott,1.000,1.000,Mein Gott …,Mein gott...,NEEDS_TRANSLATION,,,
gree_pozdrav_m_oh_was_sol_SyiD,3,46,german,ist; los,1.000,1.000,Oh ... Was ist los?,Oh... Was ist los?,NEEDS_TRANSLATION,,,
dial_jasak_amit_mondott_xJTB,3,45,hungarian,mit; mondott,1.000,1.000,Mit mondott?,!P Amit mondott?,NEEDS_TRANSLATION,,,
gree_obchodnic_was_willst_bdYp,3,45,,willst; schuft,1.000,1.000,"Was willst du, du Schuft?","Was willst du, Ruck?",NEEDS_TRANSLATION,,,
pozd_npc_zdrav_jom_tov__itGG,3,44,,gutn; tog,1.000,1.000,A gutn tog!,Jom tov!,NEEDS_TRANSLATION,,,
npc__muz_samom_ach_was_so_j4Fj,3,44,,ach; soll's,1.000,1.000,"Ach, was soll’s.","!P Ach, was soll's.",NEEDS_TRANSLATION,,,
star_vozka_voz_huah_los_L1g4,3,44,,hüa; los,1.000,1.000,"Hüa, los!","!P Huäh, lot!",NEEDS_TRANSLATION,,,
npc__npc_bezi__o_devla_mi_5XZI,3,44,,devla; miro,1.000,1.000,O Devla miro!,!T O Devla miro!,NEEDS_TRANSLATION,,,
gree_pozdrav_m_oy_vey_fra_fq4H,3,44,yiddish_hebrew,vey; fraynd,1.000,1.000,"Oy vey, fraynd!","!P Oy vey, Frajnd!",NEEDS_TRANSLATION,,,
npc__npc_bezi__pomoc_rych_OHEq,3,44,,hin; oda,1.000,1.000,So hin oda?,!T So hin oda?,NEEDS_TRANSLATION,,,
npc__npc_bezi__tu_khandun_96FT,3,44,,khandino; kar,1.000,1.000,Tu khandino kar!,!T Tu khanduno kar!,NEEDS_TRANSLATION,,,
gree_pozdrav_m_oy_oy_v2N2,3,44,,vos; los,1.000,1.000,Vos is los?,!P Was ist los?,NEEDS_TRANSLATION,,,
gree_pozdrav_n_was_willst_nBZ4,3,44,,willst; schelm,1.000,1.000,"Was willst du, Schelm?","!P Was willst du, Schelm?",NEEDS_TRANSLATION,,,
gree_pozdrav_n_gruss_gott_2tXt,3,41,german,grüss; gott,1.000,1.000,!P Grüss Gott!,!P Grüss Gott!,NEEDS_TRANSLATION,,,
gree_pozdrav_n_guten_aben_W4VZ,3,39,,guten; abend,1.000,1.000,"!P Guten Abend, Heinrich!","!P Guten Abend, Heinrich!",NEEDS_TRANSLATION,,,
gree_pozdrav_n_chces_neco_GMHY,3,38,,want; something,1.000,1.000,Do you want something?,Do you want something?,NEEDS_TRANSLATION,,,
gree_pozdrav_z_mazel_tov_ZBBA,3,38,,mazl; tov,1.000,1.000,Mazl tov!,Mazl tov!,NEEDS_TRANSLATION,,,
kost_kostky_he_oy_sum_dovr_5RwX,3,38,,shum; dovr,1.000,1.000,"Oy, shum dovr...","Oy, shum dovr...",NEEDS_TRANSLATION,,,
gree_pozdrav_z_salom_alej_n9p0,3,37,,sholem; aleykhem,1.000,1.000,Sholem aleykhem.,Sholem aleykhem.,NEEDS_TRANSLATION,,,
gree_pozdrav_m_oh_devla_d_68Ow,3,35,yiddish_hebrew,devla,1.000,1.000,Oy Devla! Devla!,!T Oy Devla! Devla!,NEEDS_TRANSLATION,,,
npc__kuman_cri_jdi_odsud_xMRg,3,34,hungarian,menj,1.000,1.000,Menj el!,Go away!,NEEDS_TRANSLATION,,,
bark_soldier_n_krleees_mt6P,3,33,,kyrie; eleison,1.000,1.000,Kyrie eleison!,Kyrie eleison!,NEEDS_TRANSLATION,,,
bark_treninkov_oh_nein_sc_nW5X,3,32,,scheisse,1.000,1.000,"Oh, scheiße!","!P Oh nein, Scheisse!",NEEDS_TRANSLATION,,,
gree_obchodnic_was_mochte_1y4m,3,32,,möchtest,1.000,1.000,Was möchtest du?,Was möchten Sie?,NEEDS_TRANSLATION,,,
hosp_hospodsky_oy_oy_vey_OSY6,3,30,yiddish_hebrew,vey,1.000,1.000,"Oy, oy vey!","Oy, Oy Vey!",NEEDS_TRANSLATION,,,
pozd_sousedsky_grue_h65C,3,28,,servus,1.000,1.000,"Ja, ja... servus!","Ja, ja... servus!",NEEDS_TRANSLATION,,,
pozd_pozdrav_k_szia_kdRC,3,28,,üdvözlet,1.000,1.000,Üdvözlet!,!P Szia!,NEEDS_TRANSLATION,,,
kost_kostky_st_epes_R5le,3,27,,epes,1.000,1.000,Epes!,Epes!,NEEDS_TRANSLATION,,,
neko_nekoho_ta_zabiju_te_UPnQ,3,27,,kinyírlak,1.000,1.000,Kinyírlak!,Kinyírlak!,NEEDS_TRANSLATION,,,
pras_rychtar_p_bezva_mas__YDmG,3,26,,ausgezeichnet,1.000,1.000,Ausgezeichnet!,Ausgezeichnet!,NEEDS_TRANSLATION,,,
incl_cechmistr_wunderbar_hgRe,3,26,,wunderbar,1.000,1.000,Wunderbar!,Wunderbar!,NEEDS_TRANSLATION,,,
npc__npc_utika_eh_pejres_TNT6,3,25,,peyresh,1.000,1.000,"Eh, peyresh!","Eh, peyresh!",NEEDS_TRANSLATION,,,
rozl_obchodnic_vielen_dan_Jbzx,2,163,german; hungarian,vielen; dank; war; mir; eine; freude; mit; dir; geschäfte; machen; mein; freund,1.000,1.000,"Vielen Dank! Es war mir eine Freude, mit dir Geschäfte zu machen, mein Freund!","Vielen Dank! Es war mir eine Freude, mit Dir Geschäfte zu machen, mein Freund!",NEEDS_TRANSLATION,,,
rozl_obchodnic_vielen_dan_pTFA,2,163,german; hungarian,vielen; dank; war; mir; eine; freude; mit; dir; geschäfte; machen; mein; herr,1.000,1.000,"Vielen Dank! Es war mir eine Freude, mit dir Geschäfte zu machen, mein Herr!","Vielen Dank! Es war mir eine Freude, mit Dir Geschäfte zu machen, mein Herr!",NEEDS_TRANSLATION,,,
situ_situace_p_sei_froh_d_SCEi,2,146,czech; german; slovak,sei; froh; dass; deinen; kopf; noch; auf; den; schultern; hast,1.000,1.000,"Sei froh, dass du deinen Kopf noch auf den Schultern hast!","Sei froh, dass du deinen Kopf im Nacken hast!",NEEDS_TRANSLATION,,,
gree_pozdrav_m_es_ist_ein_Yymn,2,144,german; hungarian,ist; eine; sünde; hier; mit; nacktem; hintern; herumzulaufen; mein; freund,1.000,1.000,"Es ist eine Sünde, hier mit nacktem Hintern herumzulaufen, mein Freund!","Es ist eine Sünde, hier mit nacktem Arsch herumzulaufen, mein Freund!",NEEDS_TRANSLATION,,,
vyvo_vyvolavan_die_besten_KfQk,2,143,german,die; besten; produkte; auf; dem; markt; gute; preise; kommt; leute,1.000,1.000,"Die besten Produkte auf dem Markt! Gute Preise! Kommt, Leute, kommt!","Die besten Produkte auf dem Markt! Gute Preise! Komm, komm, Liute!",NEEDS_TRANSLATION,,,
rozl_obchodnic_ausgezeich_cgIJ,2,142,german,ausgezeichnet; hast; ein; gutes; geschäft; gemacht; mein; freund; bis; bald,1.000,1.000,"Ausgezeichnet! Du hast ein gutes Geschäft gemacht, mein Freund! Bis bald!","Ausgezeichnet! Du gemacht ein gutes Geschäft, mein Freund! Bis bald!",NEEDS_TRANSLATION,,,
rozl_obchodnic_ausgezeich_EF9v,2,142,german,ausgezeichnet; hast; ein; gutes; geschäft; gemacht; mein; herr; lebe; wohl,1.000,1.000,"Ausgezeichnet! Du hast ein gutes Geschäft gemacht, mein Herr! Lebe wohl!","Ausgezeichnet! Du gemacht ein gutes Geschäft, mein Herr! Lebe wohl!",NEEDS_TRANSLATION,,,
rozl_obchodnic_vielen_dan_8qcc,2,137,german,vielen; dank; mein; freund; war; mir; eine; freude; bis; bald,1.000,1.000,"Vielen Dank, mein Freund! Es war mir eine Freude. Bis bald!","Vielen Dank, mein Freund! Es war mir eine Freude. Bis bald!",NEEDS_TRANSLATION,,,
rozl_obchodnic_ausgezeich_SSVG,2,130,german,ausgezeichnet; wirst; sicher; zufrieden; sein; mein; freund; lebe; wohl,1.000,1.000,"Ausgezeichnet! Du wirst sicher zufrieden sein, mein Freund! Lebe wohl!","Ausgezeichnet! Sie sicher zufrieden sein, mein Freund! Lebe wohl!",NEEDS_TRANSLATION,,,
situ_situace_p_ich_hoffe__Ghog,2,130,german,ich; hoffe; sie; hängen; dich; nächstes; mal; auf; mistkerl,1.000,1.000,"Ich hoffe, sie hängen dich nächstes Mal auf, du Mistkerl!","Ich hoffe, sie hängen dich das nächstemal, Bastard!",NEEDS_TRANSLATION,,,
rozl_obchodnic_danke_und__TBcu,2,125,german,danke; und; viel; glück; für; die; zukunft; mein; freund,1.000,1.000,"Danke und viel Glück für die Zukunft, mein Freund.","Danke und viel Glück für die Zukunft, mein Freund.",NEEDS_TRANSLATION,,,
rozl_obchodnic_danke_und__kmLF,2,125,german,danke; und; viel; glück; für; die; zukunft; mein; herr,1.000,1.000,"Danke und viel Glück für die Zukunft, mein Herr.","Danke und viel Glück für die Zukunft, mein Herr.",NEEDS_TRANSLATION,,,
