localization_key,speaker_context,original_display_text,foreign_fragment,source_language,verified_meaning,line_type,reference_source,test_status,notes
inga_bohuta_pl_kyrie_elei_M1GZ,source-driven translation batch 001,Kyrie eleison.,,Greek,"Lord, have mercy.",full,FTFL translation batch 001; multilingual Rosetta context; linguistic review,0.2.6 regression candidate,family-first source-driven review; safe exact-family propagation may cover sibling keys
koco_kocovnik__taves_bach_rTUM,0.2.6 mandatory regression,"T-aves bakhtalo, Henry! You are the best!",T-aves bakhtalo,Romani,Good luck!,mixed,FTFL multilingual Rosetta context; Romani greeting formula verified against Ružake gila,0.2.6 mandatory regression,mandatory 0.2.6 mixed-language regression line; preserve existing English tail
kost_kibic_fac_was_ist_das_wEZV,source-driven translation batch 001,Was ist das?,,German,What is that?,full,FTFL translation batch 001; multilingual Rosetta context; linguistic review,0.2.6 regression candidate,family-first source-driven review; safe exact-family propagation may cover sibling keys
lamp_lamprecht_praga_capu_oGKP,source-driven translation batch 001,Praga caput regni!,,Latin,"Prague, head of the kingdom!",full,FTFL translation batch 001; multilingual Rosetta context; linguistic review,0.2.6 regression candidate,family-first source-driven review; safe exact-family propagation may cover sibling keys
lega_jindrich__tvuj_klobo_74Ax,source-driven translation batch 001,"Buona sera, signori.",,Italian,"Good evening, gentlemen.",full,FTFL translation batch 001; multilingual Rosetta context; linguistic review,0.2.6 regression candidate,family-first source-driven review; safe exact-family propagation may cover sibling keys
menh_menhart_z_verstehen_FQjz,source-driven translation batch 001,Ich verstehe.,,German,I understand.,full,FTFL translation batch 001; multilingual Rosetta context; linguistic review,0.2.6 regression candidate,family-first source-driven review; safe exact-family propagation may cover sibling keys
muz__hospodsky_sehr_gut_ZNBj,source-driven translation batch 001,Sehr gut.,,German,Very good.,full,FTFL translation batch 001; multilingual Rosetta context; linguistic review,0.2.6 regression candidate,family-first source-driven review; safe exact-family propagation may cover sibling keys
muz__muz_prona_warum__SoWG,source-driven translation batch 001,Warum?,,German,Why?,full,FTFL translation batch 001; multilingual Rosetta context; linguistic review,0.2.6 regression candidate,family-first source-driven review; safe exact-family propagation may cover sibling keys
npc__npc_vidi__halt_prest_JFuH,source-driven translation batch 001,Was machst du?,,German,What are you doing?,full,FTFL translation batch 001; multilingual Rosetta context; linguistic review,0.2.6 regression candidate,family-first source-driven review; safe exact-family propagation may cover sibling keys
pozd_npc_zdrav_gru_gott_9KrT,source-driven translation batch 001,Grüß Gott!,,German,Hello!,full,FTFL translation batch 001; multilingual Rosetta context; linguistic review,0.2.6 regression candidate,family-first source-driven review; safe exact-family propagation may cover sibling keys
pozd_pozdrav_n_gott_segne_4flq,source-driven translation batch 001,Gott segne dich!,,German,God bless you!,full,FTFL translation batch 001; multilingual Rosetta context; linguistic review,0.2.6 regression candidate,family-first source-driven review; safe exact-family propagation may cover sibling keys
pozd_uctivy_po_naturlich__42x1,source-driven translation batch 001,"Natürlich, kein Problem.",,German,"Of course, no problem.",full,FTFL translation batch 001; multilingual Rosetta context; linguistic review,0.2.6 regression candidate,family-first source-driven review; safe exact-family propagation may cover sibling keys
rozl_rozloucen_tschuss_CM0e,source-driven translation batch 001,Tschüss!,,German,Bye!,full,FTFL translation batch 001; multilingual Rosetta context; linguistic review,0.2.6 regression candidate,family-first source-driven review; safe exact-family propagation may cover sibling keys
vrac_farar_ant_scientia_e_6hjw,source-driven translation batch 001,Scientia est potentia.,,Latin,Knowledge is power.,full,FTFL translation batch 001; multilingual Rosetta context; linguistic review,0.2.6 regression candidate,family-first source-driven review; safe exact-family propagation may cover sibling keys
vysl_safarik_vade_retro_s_TsU0,source-driven translation batch 001,Vade retro Satana!,,Latin,"Get behind me, Satan!",full,FTFL translation batch 001; multilingual Rosetta context; linguistic review,0.2.6 regression candidate,family-first source-driven review; safe exact-family propagation may cover sibling keys
