representative_key,family_size,original_display_text,source_language,verified_meaning,confidence,source_basis,status
gree_obchodnic_was_willst_1SG8,5,Was willst du?,German,What do you want?,high,translation_context.csv confirms deliberate preservation across official localizations; meaning supplied by linguistic review,READY_FOR_CORPUS
menh_menhart_z_verstehen_FQjz,4,Ich verstehe.,German,I understand.,high,translation_context.csv confirms deliberate preservation across official localizations; meaning supplied by linguistic review,READY_FOR_CORPUS
inga_bohuta_pl_kyrie_elei_M1GZ,4,Kyrie eleison.,Greek,"Lord, have mercy.",high,translation_context.csv confirms deliberate preservation across official localizations; meaning supplied by linguistic review,READY_FOR_CORPUS
hosp_hospodska_nicht_viel_nJz2,4,Nicht viel.,German,Not much.,high,translation_context.csv confirms deliberate preservation across official localizations; meaning supplied by linguistic review,READY_FOR_CORPUS
gree_pozdrav_z_mazel_tov_ZBBA,3,Mazl tov!,Yiddish/Hebrew,Congratulations!,high,translation_context.csv confirms deliberate preservation across official localizations; meaning supplied by linguistic review,READY_FOR_CORPUS
pozd_uctivy_po_naturlich__42x1,3,"Natürlich, kein Problem.",German,"Of course, no problem.",high,translation_context.csv confirms deliberate preservation across official localizations; meaning supplied by linguistic review,READY_FOR_CORPUS
gree_pozdrav_m_gut_margn_h4P5,2,Gut margn!,Yiddish,Good morning!,high,translation_context.csv confirms deliberate preservation across official localizations; meaning supplied by linguistic review,READY_FOR_CORPUS
lamp_lamprecht_praga_capu_oGKP,2,Praga caput regni!,Latin,"Prague, head of the kingdom!",high,translation_context.csv confirms deliberate preservation across official localizations; meaning supplied by linguistic review,READY_FOR_CORPUS
vrac_farar_ant_scientia_e_6hjw,2,Scientia est potentia.,Latin,Knowledge is power.,high,translation_context.csv confirms deliberate preservation across official localizations; meaning supplied by linguistic review,READY_FOR_CORPUS
vysl_safarik_vade_retro_s_TsU0,1,Vade retro Satana!,Latin,"Get behind me, Satan!",high,translation_context.csv confirms deliberate preservation across official localizations; meaning supplied by linguistic review,READY_FOR_CORPUS
henr_menhart_z_verstehen__edkX,1,"Verstanden, Ratsherr. Danke.",German,"Understood, Councillor. Thank you.",high,translation_context.csv confirms deliberate preservation across official localizations; meaning supplied by linguistic review,READY_FOR_CORPUS
gree_pozdrav_m_kames_vare_GMEq,6,Kames vareso?,Romani,Do you want something?,medium,translation_context.csv confirms deliberate preservation across official localizations; meaning supplied by linguistic review,REVIEW_BEFORE_CORPUS
gree_pozdrav_m_so_rodes_0XJK,5,So rodes?,Romani,What are you looking for?,medium,translation_context.csv confirms deliberate preservation across official localizations; meaning supplied by linguistic review,REVIEW_BEFORE_CORPUS
gree_pozdrav_m_oh_devla_gQ7a,2,Oh Devla!,Romani,Oh God!,medium,translation_context.csv confirms deliberate preservation across official localizations; meaning supplied by linguistic review,REVIEW_BEFORE_CORPUS
gree_pozdrav_m_taves_bach_CsvT,2,T'aves bachtalo!,Romani,Good luck!,medium,translation_context.csv confirms deliberate preservation across official localizations; meaning supplied by linguistic review,REVIEW_BEFORE_CORPUS
